5.36942E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-79
5.36942E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-81
5.36942E+13,3, autosound, 80:ea:96:eb:1e:fc,-78
5.36942E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-70
5.36942E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-72
5.36942E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-88
5.36942E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-72
5.36942E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-73
5.36942E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-73
5.36942E+13,3, eduroam, 1c:aa:07:6e:31:a0,-74
5.36942E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-70
5.36942E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-79
5.36942E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-78
5.36942E+13,3, BALPOL162, 00:16:0a:18:95:0c,-94
5.36942E+13,3, TUvisitor, 24:01:c7:76:2a:31,-83
5.36942E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-83
5.36981E+13,3, RFID-AP, 00:22:f7:21:d0:38,-83
5.36981E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-79
5.36981E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-87
5.36981E+13,3, autosound, 80:ea:96:eb:1e:fc,-76
5.36981E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-72
5.36981E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-71
5.36981E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-87
5.36981E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-71
5.36981E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-71
5.36981E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-72
5.36981E+13,3, eduroam, 1c:aa:07:6e:31:a0,-71
5.36981E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-79
5.36981E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-78
5.36981E+13,3, BALPOL162, 00:16:0a:18:95:0c,-97
5.36981E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-87
5.36981E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-78
5.36981E+13,3, my_shared_connection, 84:a6:c8:77:c4:c8,-94
5.37019E+13,3, RFID-AP, 00:22:f7:21:d0:38,-88
5.37019E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-79
5.37019E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-95
5.37019E+13,3, autosound, 80:ea:96:eb:1e:fc,-75
5.37019E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-70
5.37019E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-71
5.37019E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-87
5.37019E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-78
5.37019E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-71
5.37019E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-72
5.37019E+13,3, eduroam, 1c:aa:07:6e:31:a0,-71
5.37019E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-82
5.37019E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-78
5.37019E+13,3, BALPOL162, 00:16:0a:18:95:0c,-97
5.37019E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-80
5.37019E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-82
5.37019E+13,3, my_shared_connection, 84:a6:c8:77:c4:c8,-94
5.37019E+13,3, Sweex LW050v2, 00:16:0a:13:32:b8,-96
5.37019E+13,3, TUvisitor, 24:01:c7:76:2a:31,-83
5.37059E+13,3, RFID-AP, 00:22:f7:21:d0:38,-86
5.37059E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-81
5.37059E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-84
5.37059E+13,3, autosound, 80:ea:96:eb:1e:fc,-72
5.37059E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-75
5.37059E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-68
5.37059E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-69
5.37059E+13,3, eduroam, 1c:aa:07:6e:31:a0,-68
5.37059E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-82
5.37059E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-85
5.37059E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-80
5.37059E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-86
5.37059E+13,3, Sweex LW050v2, 00:16:0a:13:32:b8,-96
5.37059E+13,3, TUvisitor, 24:01:c7:76:2a:31,-83
5.37059E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-87
5.37059E+13,3, tudelft-dastud, 00:1c:f9:70:c9:c2,-92
5.37059E+13,3, mfold-linksys, 00:25:9c:ca:87:ee,-93
5.37059E+13,3, ZonderTougie, c0:c1:c0:5a:76:96,-95
5.37059E+13,3, sape, 20:c9:d0:18:43:f3,-96
5.37059E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-68
5.37059E+13,3, ZonderTougie-guest, c0:c1:c0:5a:76:98,-96
5.3711E+13,3, RFID-AP, 00:22:f7:21:d0:38,-85
5.3711E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-83
5.3711E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-91
5.3711E+13,3, autosound, 80:ea:96:eb:1e:fc,-75
5.3711E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-71
5.3711E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-71
5.3711E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-70
5.3711E+13,3, eduroam, 1c:aa:07:6e:31:a0,-72
5.3711E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-83
5.3711E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-83
5.3711E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-86
5.3711E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-87
5.3711E+13,3, tudelft-dastud, 00:1c:f9:70:c9:c2,-92
5.3711E+13,3, mfold-linksys, 00:25:9c:ca:87:ee,-97
5.3711E+13,3, ZonderTougie, c0:c1:c0:5a:76:96,-95
5.3711E+13,3, sape, 20:c9:d0:18:43:f3,-96
5.3711E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-68
5.3711E+13,3, ZonderTougie-guest, c0:c1:c0:5a:76:98,-96
5.3711E+13,3, eduroam, 1c:aa:07:7b:39:10,-71
5.3711E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-72
5.3711E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-85
5.3711E+13,3, eduroam, 24:01:c7:76:2a:30,-86
5.3711E+13,3, Hertog Lan, c8:b3:73:01:fc:19,-99
5.3711E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-72
5.37141E+13,3, RFID-AP, 00:22:f7:21:d0:38,-76
5.37141E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-70
5.37141E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-72
5.37141E+13,3, autosound, 80:ea:96:eb:1e:fc,-72
5.37141E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-57
5.37141E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-64
5.37141E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-61
5.37141E+13,3, eduroam, 1c:aa:07:6e:31:a0,-62
5.37141E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-83
5.37141E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-83
5.37141E+13,3, mfold-linksys, 00:25:9c:ca:87:ee,-97
5.37141E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-71
5.37141E+13,3, eduroam, 1c:aa:07:7b:39:10,-71
5.37141E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-63
5.37141E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-86
5.37141E+13,3, eduroam, 24:01:c7:76:2a:30,-86
5.37141E+13,3, Hertog Lan, c8:b3:73:01:fc:19,-99
5.37141E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-64
5.37141E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-70
5.37174E+13,3, RFID-AP, 00:22:f7:21:d0:38,-76
5.37174E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-79
5.37174E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-87
5.37174E+13,3, autosound, 80:ea:96:eb:1e:fc,-72
5.37174E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-74
5.37174E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-73
5.37174E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-72
5.37174E+13,3, eduroam, 1c:aa:07:6e:31:a0,-72
5.37174E+13,3, mfold-linksys, 00:25:9c:ca:87:ee,-94
5.37174E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-71
5.37174E+13,3, eduroam, 1c:aa:07:7b:39:10,-71
5.37174E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-74
5.37174E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-85
5.37174E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-72
5.37174E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-72
5.37205E+13,3, RFID-AP, 00:22:f7:21:d0:38,-89
5.37205E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-81
5.37205E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-87
5.37205E+13,3, autosound, 80:ea:96:eb:1e:fc,-70
5.37205E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-66
5.37205E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-75
5.37205E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-70
5.37205E+13,3, eduroam, 1c:aa:07:6e:31:a0,-71
5.37205E+13,3, mfold-linksys, 00:25:9c:ca:87:ee,-95
5.37205E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-75
5.37205E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-83
5.37205E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-75
5.37205E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-72
5.37205E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-80
5.37205E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-80
5.37205E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-85
5.37205E+13,3, mfold-dlink, 00:26:5a:a9:99:46,-91
5.37205E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-79
5.37238E+13,3, RFID-AP, 00:22:f7:21:d0:38,-90
5.37238E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-81
5.37238E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-84
5.37238E+13,3, autosound, 80:ea:96:eb:1e:fc,-76
5.37238E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-67
5.37238E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-76
5.37238E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-70
5.37238E+13,3, eduroam, 1c:aa:07:6e:31:a0,-74
5.37238E+13,3, mfold-linksys, 00:25:9c:ca:87:ee,-96
5.37238E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-76
5.37238E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-85
5.37238E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-76
5.37238E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-80
5.37238E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-80
5.37238E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-78
5.37238E+13,3, mfold-dlink, 00:26:5a:a9:99:46,-91
5.37238E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-81
5.37238E+13,3, tudelft-dastud, 54:4a:00:c7:81:b2,-87
5.37238E+13,3, BALPOL162, 00:16:0a:18:95:0c,-95
5.37238E+13,3, ZonderTougie, c0:c1:c0:5a:76:96,-95
5.37238E+13,3, Router_Joost, 48:f8:b3:40:f1:a9,-97
5.37238E+13,3, ZonderTougie-guest, c0:c1:c0:5a:76:98,-95
5.37272E+13,3, RFID-AP, 00:22:f7:21:d0:38,-82
5.37272E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-81
5.37272E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-84
5.37272E+13,3, autosound, 80:ea:96:eb:1e:fc,-76
5.37272E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-67
5.37272E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-73
5.37272E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-75
5.37272E+13,3, eduroam, 1c:aa:07:6e:31:a0,-73
5.37272E+13,3, mfold-linksys, 00:25:9c:ca:87:ee,-96
5.37272E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-76
5.37272E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-82
5.37272E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-76
5.37272E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-80
5.37272E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-79
5.37272E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-78
5.37272E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-81
5.37272E+13,3, tudelft-dastud, 54:4a:00:c7:81:b2,-87
5.37272E+13,3, BALPOL162, 00:16:0a:18:95:0c,-95
5.37272E+13,3, ZonderTougie, c0:c1:c0:5a:76:96,-95
5.37272E+13,3, Router_Joost, 48:f8:b3:40:f1:a9,-97
5.37272E+13,3, ZonderTougie-guest, c0:c1:c0:5a:76:98,-95
5.37272E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-75
5.37272E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-82
5.37272E+13,3, TUDelft-Event, 54:4a:00:c7:81:b3,-86
5.37272E+13,3, TUvisitor, 1c:aa:07:7b:37:01,-82
5.37309E+13,3, RFID-AP, 00:22:f7:21:d0:38,-85
5.37309E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-81
5.37309E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-79
5.37309E+13,3, autosound, 80:ea:96:eb:1e:fc,-76
5.37309E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-66
5.37309E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-70
5.37309E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-71
5.37309E+13,3, eduroam, 1c:aa:07:6e:31:a0,-68
5.37309E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-71
5.37309E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-87
5.37309E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-69
5.37309E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-78
5.37309E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-78
5.37309E+13,3, ZonderTougie, c0:c1:c0:5a:76:96,-95
5.37309E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-70
5.37309E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-82
5.37309E+13,3, TUDelft-Event, 54:4a:00:c7:81:b3,-86
5.37309E+13,3, TUvisitor, 1c:aa:07:7b:37:01,-82
5.37309E+13,3, eduroam, 1c:aa:07:7b:39:10,-71
5.37309E+13,3, eduroam, 1c:aa:07:7b:28:00,-86
5.37309E+13,3, mfold-dlink, 00:26:5a:a9:99:46,-94
5.37309E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-70
5.37309E+13,3, TUvisitor, 24:01:c7:76:2a:31,-83
5.37345E+13,3, RFID-AP, 00:22:f7:21:d0:38,-82
5.37345E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-89
5.37345E+13,3, autosound, 80:ea:96:eb:1e:fc,-68
5.37345E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-70
5.37345E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-70
5.37345E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-68
5.37345E+13,3, eduroam, 1c:aa:07:6e:31:a0,-69
5.37345E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-70
5.37345E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-87
5.37345E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-70
5.37345E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-78
5.37345E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-79
5.37345E+13,3, ZonderTougie, c0:c1:c0:5a:76:96,-95
5.37345E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-70
5.37345E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-85
5.37345E+13,3, eduroam, 1c:aa:07:7b:39:10,-71
5.37345E+13,3, eduroam, 1c:aa:07:7b:28:00,-86
5.37345E+13,3, mfold-dlink, 00:26:5a:a9:99:46,-94
5.37345E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-70
5.37345E+13,3, TUvisitor, 24:01:c7:76:2a:31,-83
5.37345E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-78
5.37345E+13,3, BALPOL162, 00:16:0a:18:95:0c,-93
5.37345E+13,3, olifant, 28:c6:8e:9c:e8:c8,-96
5.37345E+13,3, Balpol 500, 00:16:0a:18:f5:4c,-99
5.37345E+13,3, ZonderTougie-guest, c0:c1:c0:5a:76:98,-97
5.37394E+13,3, RFID-AP, 00:22:f7:21:d0:38,-83
5.37394E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-89
5.37394E+13,3, autosound, 80:ea:96:eb:1e:fc,-65
5.37394E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-68
5.37394E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-73
5.37394E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-68
5.37394E+13,3, eduroam, 1c:aa:07:6e:31:a0,-74
5.37394E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-74
5.37394E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-89
5.37394E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-73
5.37394E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.37394E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-77
5.37394E+13,3, ZonderTougie, c0:c1:c0:5a:76:96,-95
5.37394E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-85
5.37394E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-78
5.37394E+13,3, BALPOL162, 00:16:0a:18:95:0c,-93
5.37394E+13,3, olifant, 28:c6:8e:9c:e8:c8,-96
5.37394E+13,3, Balpol 500, 00:16:0a:18:f5:4c,-99
5.37394E+13,3, ZonderTougie-guest, c0:c1:c0:5a:76:98,-99
5.37394E+13,3, mfold-linksys, 00:25:9c:ca:87:ee,-93
5.37394E+13,3, SANDER, 1c:af:f7:18:0e:4a,-100
5.37426E+13,3, RFID-AP, 00:22:f7:21:d0:38,-87
5.37426E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-85
5.37426E+13,3, autosound, 80:ea:96:eb:1e:fc,-69
5.37426E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-64
5.37426E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-73
5.37426E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-75
5.37426E+13,3, eduroam, 1c:aa:07:6e:31:a0,-73
5.37426E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-73
5.37426E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-82
5.37426E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-72
5.37426E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.37426E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-76
5.37426E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-77
5.37426E+13,3, ZonderTougie-guest, c0:c1:c0:5a:76:98,-99
5.37426E+13,3, mfold-linksys, 00:25:9c:ca:87:ee,-95
5.37426E+13,3, SANDER, 1c:af:f7:18:0e:4a,-100
5.37426E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-77
5.37426E+13,3, tudelft-dastud, 1c:aa:07:7b:37:02,-82
5.37426E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-87
5.37426E+13,3, eduroam, 24:01:c7:76:2a:30,-88
5.37426E+13,3, mfold-dlink, 00:26:5a:a9:99:46,-93
5.37426E+13,3, sape, 20:c9:d0:18:43:f3,-95
5.3746E+13,3, RFID-AP, 00:22:f7:21:d0:38,-87
