5.42492E+13,4, eduroam, 1c:aa:07:6e:31:a0,-77
5.42492E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-85
5.42492E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-76
5.42492E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.42492E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-77
5.42492E+13,4, eduroam, 24:01:c7:76:2a:30,-88
5.42492E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-92
5.42492E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-78
5.42492E+13,4, RFID-AP, 00:22:f7:21:d0:38,-83
5.42492E+13,4, sape, 20:c9:d0:18:43:f3,-94
5.42492E+13,4, SANDER, 1c:af:f7:18:0e:4a,-100
5.42523E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-80
5.42523E+13,4, autosound, 80:ea:96:eb:1e:fc,-78
5.42523E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-64
5.42523E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-74
5.42523E+13,4, eduroam, 1c:aa:07:6e:31:a0,-74
5.42523E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-84
5.42523E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-75
5.42523E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-76
5.42523E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-76
5.42523E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-81
5.42523E+13,4, RFID-AP, 00:22:f7:21:d0:38,-83
5.42523E+13,4, sape, 20:c9:d0:18:43:f3,-94
5.42523E+13,4, SANDER, 1c:af:f7:18:0e:4a,-100
5.42523E+13,4, tudelft-dastud, 1c:aa:07:7b:37:02,-90
5.42523E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-94
5.42523E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-94
5.42556E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-80
5.42556E+13,4, autosound, 80:ea:96:eb:1e:fc,-69
5.42556E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-64
5.42556E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-77
5.42556E+13,4, eduroam, 1c:aa:07:6e:31:a0,-72
5.42556E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-84
5.42556E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-72
5.42556E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-73
5.42556E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-72
5.42556E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-81
5.42556E+13,4, RFID-AP, 00:22:f7:21:d0:38,-85
5.42556E+13,4, sape, 20:c9:d0:18:43:f3,-92
5.42556E+13,4, tudelft-dastud, 1c:aa:07:7b:37:02,-86
5.42556E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-94
5.42556E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-94
5.42556E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-87
5.42556E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-87
5.42556E+13,4, C150BRS4, 00:22:f7:20:a1:98,-100
5.42556E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-77
5.42591E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-79
5.42591E+13,4, autosound, 80:ea:96:eb:1e:fc,-67
5.42591E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-64
5.42591E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-73
5.42591E+13,4, eduroam, 1c:aa:07:6e:31:a0,-72
5.42591E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-83
5.42591E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-79
5.42591E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-79
5.42591E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-80
5.42591E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.42591E+13,4, RFID-AP, 00:22:f7:21:d0:38,-81
5.42591E+13,4, sape, 20:c9:d0:18:43:f3,-92
5.42591E+13,4, tudelft-dastud, 1c:aa:07:7b:37:02,-87
5.42591E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-88
5.42591E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-87
5.42591E+13,4, C150BRS4, 00:22:f7:20:a1:98,-100
