5.54216E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-88
5.54216E+13,11, RFID-AP, 00:22:f7:21:d0:38,-84
5.54216E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-88
5.54216E+13,11, eduroam, 1c:aa:07:7b:28:00,-76
5.54216E+13,11, Roger-WIFI, c8:d7:19:3c:98:eb,-91
5.54243E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-75
5.54243E+13,11, RFID-AP, 00:22:f7:21:d0:38,-79
5.54243E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-88
5.54243E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-87
5.54243E+13,11, Vloat 2.4, c4:6e:1f:0c:b9:44,-91
5.54243E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-75
5.54271E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-75
5.54271E+13,11, RFID-AP, 00:22:f7:21:d0:38,-81
5.54271E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-88
5.54271E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-87
5.54271E+13,11, Vloat 2.4, c4:6e:1f:0c:b9:44,-91
5.54271E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-75
5.54271E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-86
5.54271E+13,11, IreneDaBohmba, 78:54:2e:fd:e3:80,-88
5.54271E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-91
5.54271E+13,11, electric feel 2.4, 00:26:5a:c9:c4:68,-95
5.54303E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-75
5.54303E+13,11, RFID-AP, 00:22:f7:21:d0:38,-81
5.54303E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-90
5.54303E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-82
5.54303E+13,11, Vloat 2.4, c4:6e:1f:0c:b9:44,-91
5.54303E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-75
5.54303E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-86
5.54303E+13,11, IreneDaBohmba, 78:54:2e:fd:e3:80,-88
5.54303E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-91
5.54303E+13,11, electric feel 2.4, 00:26:5a:c9:c4:68,-95
5.54303E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-75
5.54303E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-82
5.54303E+13,11, TP-LINK_DE748E, 64:66:b3:de:74:8e,-90
5.54303E+13,11, Keith Huang, 14:cf:92:50:5a:00,-91
5.54332E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-79
5.54332E+13,11, RFID-AP, 00:22:f7:21:d0:38,-77
5.54332E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-90
5.54332E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-82
5.54332E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-80
5.54332E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-88
5.54332E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-75
5.54332E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-88
5.54332E+13,11, TP-LINK_DE748E, 64:66:b3:de:74:8e,-90
5.54332E+13,11, Keith Huang, 14:cf:92:50:5a:00,-91
5.54332E+13,11, Its_a_TRAP, 8c:21:0a:9a:98:f8,-85
5.54332E+13,11, Non's wifi, e4:f4:c6:d7:e0:7b,-85
5.54332E+13,11, erwan, 9c:d6:43:d4:d8:da,-86
5.54332E+13,11, TP Link, c4:6e:1f:f4:d9:ba,-88
5.54332E+13,11, MishaRasa2.4GHz, c0:4a:00:51:03:33,-88
5.54332E+13,11, TP-LINK_9671B2, 14:cc:20:96:71:b2,-94
5.54332E+13,11, Bakkertje, 00:14:5c:84:78:a0,-100
5.54361E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-79
5.54361E+13,11, RFID-AP, 00:22:f7:21:d0:38,-82
5.54361E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-90
5.54361E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-82
5.54361E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-81
5.54361E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-88
5.54361E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-75
5.54361E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-88
5.54361E+13,11, TP-LINK_DE748E, 64:66:b3:de:74:8e,-90
5.54361E+13,11, Keith Huang, 14:cf:92:50:5a:00,-91
5.54361E+13,11, Its_a_TRAP, 8c:21:0a:9a:98:f8,-87
5.54361E+13,11, Non's wifi, e4:f4:c6:d7:e0:7b,-85
5.54361E+13,11, erwan, 9c:d6:43:d4:d8:da,-86
5.54361E+13,11, TP Link, c4:6e:1f:f4:d9:ba,-88
5.54361E+13,11, MishaRasa2.4GHz, c0:4a:00:51:03:33,-86
5.54361E+13,11, TP-LINK_9671B2, 14:cc:20:96:71:b2,-94
5.54361E+13,11, Bakkertje, 00:14:5c:84:78:a0,-100
5.54361E+13,11, Barbados507, e4:f4:c6:45:96:28,-92
5.54391E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-79
5.54391E+13,11, RFID-AP, 00:22:f7:21:d0:38,-84
5.54391E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-90
5.54391E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-85
5.54391E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-81
5.54391E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-85
5.54391E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-83
5.54391E+13,11, Its_a_TRAP, 8c:21:0a:9a:98:f8,-87
5.54391E+13,11, Non's wifi, e4:f4:c6:d7:e0:7b,-85
5.54391E+13,11, erwan, 9c:d6:43:d4:d8:da,-86
5.54391E+13,11, TP Link, c4:6e:1f:f4:d9:ba,-88
5.54391E+13,11, MishaRasa2.4GHz, c0:4a:00:51:03:33,-86
5.54391E+13,11, TP-LINK_9671B2, 14:cc:20:96:71:b2,-94
5.54391E+13,11, Bakkertje, 00:14:5c:84:78:a0,-100
5.54391E+13,11, Barbados507, e4:f4:c6:45:96:28,-92
5.54391E+13,11, eduroam, 1c:aa:07:7b:28:00,-79
5.54391E+13,11, ANKIT, 64:d1:a3:05:c1:68,-84
5.54391E+13,11,21888038, c8:d3:a3:16:92:e6,-87
5.54391E+13,11, Tenda_3C8D80, c8:3a:35:3c:8d:80,-90
5.54508E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-79
5.54508E+13,11, RFID-AP, 00:22:f7:21:d0:38,-83
5.54508E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-90
5.54508E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-85
5.54508E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-81
5.54508E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-85
5.54508E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-83
5.54508E+13,11, Its_a_TRAP, 8c:21:0a:9a:98:f8,-87
5.54508E+13,11, Non's wifi, e4:f4:c6:d7:e0:7b,-94
5.54508E+13,11, MishaRasa2.4GHz, c0:4a:00:51:03:33,-86
5.54508E+13,11, Barbados507, e4:f4:c6:45:96:28,-92
5.54508E+13,11, eduroam, 1c:aa:07:7b:28:00,-77
5.54508E+13,11, ANKIT, 64:d1:a3:05:c1:68,-84
5.54508E+13,11,21888038, c8:d3:a3:16:92:e6,-87
5.54508E+13,11, Tenda_3C8D80, c8:3a:35:3c:8d:80,-90
5.54508E+13,11, yanyan, 1c:bd:b9:c7:f0:5a,-91
5.54508E+13,11, Vloat 2.4, c4:6e:1f:0c:b9:44,-92
5.54624E+13,11, RFID-AP, 00:22:f7:21:d0:38,-80
5.54624E+13,11, Non's wifi, e4:f4:c6:d7:e0:7b,-94
5.54624E+13,11, eduroam, 1c:aa:07:7b:28:00,-77
5.54624E+13,11, yanyan, 1c:bd:b9:c7:f0:5a,-91
5.54624E+13,11, Vloat 2.4, c4:6e:1f:0c:b9:44,-92
5.54624E+13,11, erwan, 9c:d6:43:d4:d8:da,-88
5.54624E+13,11, ICIDU, 6c:fd:b9:4d:fe:b8,-93
5.54624E+13,11, TinoD, b4:75:0e:15:40:d6,-99
5.54624E+13,11, Balpol 500, 00:16:0a:18:f5:4c,-92
5.54632E+13,11, RFID-AP, 00:22:f7:21:d0:38,-78
5.54632E+13,11, erwan, 9c:d6:43:d4:d8:da,-88
5.54632E+13,11, ICIDU, 6c:fd:b9:4d:fe:b8,-93
5.54632E+13,11, TinoD, b4:75:0e:15:40:d6,-99
5.54632E+13,11, Balpol 500, 00:16:0a:18:f5:4c,-92
5.54632E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-75
5.54632E+13,11, NETGEAR-Guest, 9e:d3:6d:97:3f:04,-86
5.54632E+13,11, NETGEAR23, 9c:d3:6d:97:3f:03,-88
5.54632E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-94
5.54632E+13,11, REMOTE27wtxa, 00:1d:c9:07:71:33,-91
5.54702E+13,11, RFID-AP, 00:22:f7:21:d0:38,-86
5.54702E+13,11, erwan, 9c:d6:43:d4:d8:da,-88
5.54702E+13,11, ICIDU, 6c:fd:b9:4d:fe:b8,-93
5.54702E+13,11, TinoD, b4:75:0e:15:40:d6,-99
5.54702E+13,11, Balpol 500, 00:16:0a:18:f5:4c,-92
5.54702E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-81
5.54702E+13,11, NETGEAR-Guest, 9e:d3:6d:97:3f:04,-86
5.54702E+13,11, NETGEAR23, 9c:d3:6d:97:3f:03,-88
5.54702E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-94
5.54702E+13,11, REMOTE27wtxa, 00:1d:c9:07:71:33,-91
5.54702E+13,11, Chanturtle, 5e:b5:7d:f6:b1:7d,-87
5.54702E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-84
5.54729E+13,11, RFID-AP, 00:22:f7:21:d0:38,-82
5.54729E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-81
5.54729E+13,11, Chanturtle, 5e:b5:7d:f6:b1:7d,-87
5.54729E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-84
5.54729E+13,11, eduroam, 1c:aa:07:7b:28:00,-76
