1.059306481010143519e-01,1.113977324737087382e-01,8.207401259734321830e-02,1.542643966905415109e-01,1.591094502846764458e+00,2.575402677062371137e-01
4.099871293577460329e-02,9.590216505342391562e-02,8.652842081189532353e-02,6.652208361412115245e-01,2.467793017167728697e-01,3.418795839109354806e-01
1.543681794395179052e+00,5.409957610301590947e+00,5.654283294447566277e+00,6.652208361412115245e-01,4.043115348734642178e-01,5.916364801350769698e-01
4.598977999586618459e+00,5.617654238682174839e-01,2.769528167096915627e+00,6.220899310806057292e-01,6.668643572288041055e-01,7.414917180959733622e-01
7.110580705615869412e+00,7.718991187845369417e+00,8.971050918299704691e+00,3.633051657123726463e-01,1.417579414559988482e-01,3.418795839109354806e-01
1.916667167702880548e+01,2.404594646435238303e+01,1.317378951866360737e+01,6.800290323380672741e-02,1.065987894308428441e+00,1.920243459500390326e-01
8.587487472601256222e-01,1.666480505949857305e+00,3.667306296801512988e-01,6.800287156735906891e-02,2.273732959010729360e+00,4.417816089163166260e-01
2.439793889371168201e-01,5.977778564681257567e-01,2.737080675041135558e-02,1.476511850722439789e-01,2.588796654261988461e+00,7.664668576051817395e-01
3.395357247621376140e-01,8.301170014368548511e-01,1.501665740210683109e-01,1.476511787389544472e-01,2.431265577698484837e+00,5.666611572547997078e-01
1.180846564044916391e+00,1.641077460980809422e+00,8.599768245344616702e-01,5.855724086371151271e-01,2.536287323490320933e+00,2.575395342219649053e-01
6.661927815243208206e-01,5.864588335045771705e-01,4.551523867369164367e-01,6.287033073644312520e-01,1.486072949820459677e+00,2.075890718324792938e-01
4.992023516803502647e-01,1.224534473587043232e-01,1.759696374885694192e-01,3.267877952678306941e-01,1.942688143519178678e-01,4.917322546768727043e-01
1.896715705331275814e-01,1.666279166693801772e-01,4.322259859280167676e-02,2.770435455898471733e-01,2.467785306546465551e-01,8.164182368500116915e-01
6.852764981021344237e-01,3.840145947144467664e-01,4.051552722605657186e-02,9.737497878545330332e-01,5.408810930045608867e-01,7.664661241209095310e-01
1.218911939870259697e+00,4.515120047202872966e-01,1.872184857111996309e-02,2.267673741361489359e+00,7.509234279950448565e-01,8.164182368500116915e-01
1.043651230750227699e+00,3.427119729913782886e-01,1.872184857111996309e-02,2.095150437783543484e+00,4.358597327437868652e-01,8.164182368500116915e-01
9.034485545583730293e-01,1.244624581574256122e-01,2.560508460870593306e-02,1.448188508529736795e+00,4.043111493424018654e-01,8.164182368500116915e-01
4.092380965409360138e-01,1.730493735297355673e-01,8.872869400942921467e-03,6.800283990091141040e-02,8.924745409114384631e-02,9.163224623082159015e-01
2.711479885005575463e-01,3.740192426634775802e-01,1.004942665164697182e-03,1.045204003441394663e-01,8.034343008909639039e-01,8.913454890883222292e-01
9.060710066366431947e-01,3.729241062274507579e-01,6.289820151737765541e-02,1.361926761741420355e+00,8.034350719530884977e-01,7.914412636301179083e-01
5.470464382390134439e-01,2.697683670980396964e-01,1.498352897342010159e-01,5.424415289096674586e-01,4.883706056397041362e-01,5.416852842613175678e-01
3.314787096868498373e-01,1.738363224132995766e-01,3.317361923333266849e-01,6.138953328327078490e-02,6.828400800342115939e-02,7.781537771413491941e-03
