46661332568074, 3, TRIBLER, e0:3f:49:09:d9:9c, -89
46661332568074, 3, eduroam, 1c:aa:07:b0:7a:b0, -75
46661332568074, 3, eduroam, 1c:aa:07:7b:37:00, -76
46661332568074, 3, tudelft-dastud, 1c:aa:07:7b:37:02, -79
46661332568074, 3, mfold-dlink, 00:26:5a:a9:99:46, -86
46661332568074, 3, eduroam, 1c:aa:07:b0:7a:bf, -81
46661332568074, 3, tudelft-dastud, 1c:aa:07:b0:7a:bd, -82
46661332568074, 3, mfold-linksys, 00:25:9c:ca:87:ee, -90
46663124385992, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -51
46663124385992, 3, autosound, 80:ea:96:eb:1e:fc, -65
46663124385992, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -77
46663124385992, 3, autosound, 80:ea:96:eb:1e:fd, -79
46663124385992, 3, TUvisitor, 1c:aa:07:7b:39:11, -65
46663124385992, 3, TRIBLER, e0:3f:49:09:d9:98, -78
46663124385992, 3, NaoNet3, 00:0c:f6:a6:3c:e8, -76
46663124385992, 3, tudelft-dastud, 1c:aa:07:b0:7a:b2, -75
46663124385992, 3, tudelft-dastud, 1c:aa:07:7b:39:12, -66
46663124385992, 3, tudelft-dastud, 1c:aa:07:6e:31:a2, -63
46663124385992, 3, eduroam, 1c:aa:07:6e:31:a0, -62
46663124385992, 3, TUvisitor, 1c:aa:07:6e:31:a1, -62
46663124385992, 3, RFID-AP, 00:22:f7:21:d0:38, -81
46663124385992, 3, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -91
46663124385992, 3, TUvisitor, 1c:aa:07:b0:7a:b1, -75
46663124385992, 3, tudelft-dastud, 1c:aa:07:7b:39:1d, -78
46663124385992, 3, eduroam, 24:01:c7:76:2a:30, -75
46663124385992, 3, TRIBLER, e0:3f:49:09:d9:9c, -89
46663124385992, 3, mfold-dlink, 00:26:5a:a9:99:46, -86
46663124385992, 3, eduroam, 1c:aa:07:b0:7a:bf, -81
46663124385992, 3, tudelft-dastud, 1c:aa:07:b0:7a:bd, -82
46663124385992, 3, mfold-linksys, 00:25:9c:ca:87:ee, -90
46663124385992, 3, TUvisitor, 1c:aa:07:6e:31:ae, -70
5.40E+13,3, SLDE-ä‹¢-2, 5c:96:9d:65:76:8d,-84
5.40E+13,3, autosound, 80:ea:96:eb:1e:fc,-67
5.40E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-69
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-77
5.40E+13,3, eduroam, 1c:aa:07:6e:31:a0,-74
5.40E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-84
5.40E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-78
5.40E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-78
5.40E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.40E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-70
5.40E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-78
5.40E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-77
5.40E+13,3, eduroam, 24:01:c7:76:2a:30,-84
5.40E+13,3, TUDelft-Event, 24:01:c7:76:2a:33,-84
5.40E+13,3, BALPOL162, 00:16:0a:18:95:0c,-99
5.40E+13,3, Sweex LW050v2, 00:16:0a:13:32:b8,-95
5.40E+13,3, sape, 20:c9:d0:18:43:f3,-93
5.40E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-78
5.40E+13,3, ZonderTougie-guest, c0:c1:c0:5a:76:98,-97
5.40E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-78
5.40E+13,3, C150BRS4, 00:22:f7:20:a1:98,-97
5.40E+13,3, RFID-AP, 00:22:f7:21:d0:38,-83
5.40E+13,3, SLDE-ä‹¢-2, 5c:96:9d:65:76:8d,-83
5.40E+13,3, autosound, 80:ea:96:eb:1e:fc,-69
5.40E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-68
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-65
5.40E+13,3, eduroam, 1c:aa:07:6e:31:a0,-73
5.40E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-96
5.40E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-72
5.40E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-72
5.40E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-83
5.40E+13,3, TUvisitor, 1c:aa:07:7b:39:11,-64
5.40E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-72
5.40E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-84
5.40E+13,3, BALPOL162, 00:16:0a:18:95:0c,-99
5.40E+13,3, sape, 20:c9:d0:18:43:f3,-91
5.40E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-83
5.40E+13,3, RFID-AP, 00:22:f7:21:d0:38,-87
5.40E+13,3, VIP Lounge, 00:16:0a:1d:c1:48,-93
5.40E+13,3, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-94
5.40E+13,3, SLDE-ä‹¢-2, 5c:96:9d:65:76:8d,-87
5.40E+13,3, autosound, 80:ea:96:eb:1e:fc,-68
5.40E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-67
5.40E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-68
5.40E+13,3, eduroam, 1c:aa:07:6e:31:a0,-68
5.40E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-89
5.40E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-68
5.40E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-68
5.40E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-76
