13659106807080, 18, netgostar, ac:7b:a1:de:ba:b6, -74
13659106807080, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -89
13659106807080, 18, , 6c:70:9f:eb:63:a0, -80
13659106807080, 18, , 6c:70:9f:eb:63:a1, -85
13659106807080, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -85
13659106807080, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13659106807080, 18, TUvisitor, 1c:aa:07:7b:37:d1, -78
13659106807080, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -78
13659106807080, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -91
13666386517875, 18, RFID-AP, 00:22:f7:21:d0:38, -69
13666386517875, 18, TUvisitor, 1c:aa:07:7b:28:01, -36
13666386517875, 18, netgostar, ac:7b:a1:de:ba:b6, -70
13666386517875, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -72
13666386517875, 18, , 6c:70:9f:eb:63:a0, -72
13666386517875, 18, , 6c:70:9f:eb:63:a1, -84
13666386517875, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -84
13666386517875, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13666386517875, 18, TUvisitor, 1c:aa:07:7b:37:d1, -73
13666386517875, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -78
13666386517875, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -86
13666386517875, 18, eduroam, 1c:aa:07:7b:28:00, -36
13666386517875, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13666386517875, 18, eduroam, 1c:aa:07:7b:28:0f, -57
13666386517875, 18, eduroam, 1c:aa:07:b0:7d:50, -76
13670701310420, 18, RFID-AP, 00:22:f7:21:d0:38, -69
13670701310420, 18, TUvisitor, 1c:aa:07:7b:28:01, -36
13670701310420, 18, netgostar, ac:7b:a1:de:ba:b6, -70
13670701310420, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -72
13670701310420, 18, , 6c:70:9f:eb:63:a0, -72
13670701310420, 18, , 6c:70:9f:eb:63:a1, -84
13670701310420, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -84
13670701310420, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13670701310420, 18, TUvisitor, 1c:aa:07:7b:37:d1, -73
13670701310420, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -86
13670701310420, 18, eduroam, 1c:aa:07:7b:28:00, -36
13670701310420, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13670701310420, 18, eduroam, 1c:aa:07:7b:28:0f, -57
13670701310420, 18, eduroam, 1c:aa:07:b0:7d:50, -76
13672450899004, 18, RFID-AP, 00:22:f7:21:d0:38, -69
13672450899004, 18, TUvisitor, 1c:aa:07:7b:28:01, -36
13672450899004, 18, netgostar, ac:7b:a1:de:ba:b6, -70
13672450899004, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -78
13672450899004, 18, , 6c:70:9f:eb:63:a0, -79
13672450899004, 18, , 6c:70:9f:eb:63:a1, -84
13672450899004, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -84
13672450899004, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13672450899004, 18, TUvisitor, 1c:aa:07:7b:37:d1, -74
13672450899004, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -86
13672450899004, 18, eduroam, 1c:aa:07:7b:28:00, -36
13672450899004, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13672450899004, 18, eduroam, 1c:aa:07:7b:28:0f, -57
13672450899004, 18, eduroam, 1c:aa:07:b0:7d:50, -76
13672450899004, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -71
13672450899004, 18, eduroam, 1c:aa:07:7b:37:d0, -74
13679625787173, 18, RFID-AP, 00:22:f7:21:d0:38, -71
13679625787173, 18, TUvisitor, 1c:aa:07:7b:28:01, -46
13679625787173, 18, netgostar, ac:7b:a1:de:ba:b6, -77
13679625787173, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -76
13679625787173, 18, , 6c:70:9f:eb:63:a0, -79
13679625787173, 18, , 6c:70:9f:eb:63:a1, -89
13679625787173, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -91
13679625787173, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13679625787173, 18, TUvisitor, 1c:aa:07:7b:37:d1, -74
13679625787173, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -86
13679625787173, 18, eduroam, 1c:aa:07:7b:28:00, -46
13679625787173, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -46
13679625787173, 18, eduroam, 1c:aa:07:7b:28:0f, -57
13679625787173, 18, eduroam, 1c:aa:07:b0:7d:50, -76
13679625787173, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -70
13679625787173, 18, eduroam, 1c:aa:07:7b:37:d0, -71
13679625787173, 18, TUvisitor, 1c:aa:07:7b:28:0e, -56
13686083362969, 18, RFID-AP, 00:22:f7:21:d0:38, -69
13686083362969, 18, TUvisitor, 1c:aa:07:7b:28:01, -46
13686083362969, 18, netgostar, ac:7b:a1:de:ba:b6, -80
13686083362969, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -73
13686083362969, 18, , 6c:70:9f:eb:63:a0, -73
13686083362969, 18, , 6c:70:9f:eb:63:a1, -89
13686083362969, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -91
13686083362969, 18, eduroam, 1c:aa:07:7b:28:00, -46
13686083362969, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -46
13686083362969, 18, eduroam, 1c:aa:07:7b:28:0f, -55
13686083362969, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -70
13686083362969, 18, eduroam, 1c:aa:07:7b:37:d0, -71
13686083362969, 18, TUvisitor, 1c:aa:07:7b:28:0e, -56
13693387185721, 18, RFID-AP, 00:22:f7:21:d0:38, -73
13693387185721, 18, TUvisitor, 1c:aa:07:7b:28:01, -47
13693387185721, 18, netgostar, ac:7b:a1:de:ba:b6, -71
13693387185721, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -79
13693387185721, 18, , 6c:70:9f:eb:63:a0, -81
13693387185721, 18, , 6c:70:9f:eb:63:a1, -89
13693387185721, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -90
13693387185721, 18, eduroam, 1c:aa:07:7b:28:00, -46
13693387185721, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -46
13693387185721, 18, eduroam, 1c:aa:07:7b:28:0f, -55
13693387185721, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -70
13693387185721, 18, eduroam, 1c:aa:07:7b:37:d0, -72
13693387185721, 18, TUvisitor, 1c:aa:07:7b:28:0e, -55
13693387185721, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -54
13693387185721, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -80
13693387185721, 18, NaoNet, 00:0c:f6:6c:cf:94, -90
13699474838474, 18, RFID-AP, 00:22:f7:21:d0:38, -75
13699474838474, 18, TUvisitor, 1c:aa:07:7b:28:01, -47
13699474838474, 18, netgostar, ac:7b:a1:de:ba:b6, -79
13699474838474, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -79
13699474838474, 18, , 6c:70:9f:eb:63:a0, -73
13699474838474, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -90
13699474838474, 18, eduroam, 1c:aa:07:7b:28:00, -47
13699474838474, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -47
13699474838474, 18, eduroam, 1c:aa:07:7b:37:d0, -72
