8481863874236, 10, RFID-AP, 00:22:f7:21:d0:38, -47
8481863874236, 10, TUvisitor, 1c:aa:07:6f:28:51, -68
8481863874236, 10, NaoNet, 00:0c:f6:6c:cf:94, -72
8481863874236, 10, CrowdGuest, 6e:a0:63:eb:9f:71, -71
8481863874236, 10, mfold-dlink, 00:26:5a:a9:99:46, -76
8481863874236, 10, eduroam, 1c:aa:07:6f:28:50, -67
8481863874236, 10, tudelft-dastud, 1c:aa:07:7b:28:02, -64
8481863874236, 10, tudelft-dastud, 1c:aa:07:6f:28:52, -68
8481863874236, 10, tudelft-dastud, 1c:aa:07:b0:7d:52, -65
8481863874236, 10, , 6c:70:9f:eb:63:a0, -71
8481863874236, 10, , 6c:70:9f:eb:63:a1, -81
8481863874236, 10, CrowdGuest, 6e:a1:63:eb:9f:70, -82
8481863874236, 10, TUvisitor, 1c:aa:07:7b:28:01, -64
8481863874236, 10, tudelft-dastud, 1c:aa:07:7b:37:d2, -80
8481863874236, 10, TUvisitor, 1c:aa:07:b0:74:c1, -70
8481863874236, 10, TUvisitor, 1c:aa:07:b0:7a:b1, -80
8481863874236, 10, eduroam, d8:24:bd:4f:cf:10, -80
8481863874236, 10, TUvisitor, 1c:aa:07:b0:7d:5e, -81
8481863874236, 10, mfold-linksys, 00:25:9c:ca:87:ee, -79
8481863874236, 10, hotspot_mike, 60:36:dd:cb:c1:4f, -82
8481863874236, 10, TUvisitor, 1c:aa:07:7b:37:d1, -81
8481863874236, 10, eduroam, 1c:aa:07:7b:28:00, -64
8481863874236, 10, eduroam, 1c:aa:07:b0:7d:50, -65
8481863874236, 10, tudelft-dastud, 1c:aa:07:b0:74:c2, -74
8481863874236, 10, tudelft-dastud, 1c:aa:07:7b:28:0d, -79
8481863874236, 10, TUvisitor, 1c:aa:07:7b:28:0e, -79
8489264163032, 10, RFID-AP, 00:22:f7:21:d0:38, -57
8489264163032, 10, TUvisitor, 1c:aa:07:6f:28:51, -64
8489264163032, 10, NaoNet, 00:0c:f6:6c:cf:94, -71
8489264163032, 10, CrowdGuest, 6e:a0:63:eb:9f:71, -64
8489264163032, 10, mfold-dlink, 00:26:5a:a9:99:46, -76
8489264163032, 10, eduroam, 1c:aa:07:6f:28:50, -67
8489264163032, 10, tudelft-dastud, 1c:aa:07:7b:28:02, -64
8489264163032, 10, tudelft-dastud, 1c:aa:07:6f:28:52, -69
8489264163032, 10, tudelft-dastud, 1c:aa:07:b0:7d:52, -65
8489264163032, 10, , 6c:70:9f:eb:63:a0, -65
8489264163032, 10, , 6c:70:9f:eb:63:a1, -78
8489264163032, 10, CrowdGuest, 6e:a1:63:eb:9f:70, -78
8489264163032, 10, TUvisitor, 1c:aa:07:7b:28:01, -64
8489264163032, 10, tudelft-dastud, 1c:aa:07:7b:37:d2, -74
8489264163032, 10, eduroam, d8:24:bd:4f:cf:10, -80
8489264163032, 10, TUvisitor, 1c:aa:07:b0:7d:5e, -81
8489264163032, 10, mfold-linksys, 00:25:9c:ca:87:ee, -79
8489264163032, 10, hotspot_mike, 60:36:dd:cb:c1:4f, -82
8489264163032, 10, TUvisitor, 1c:aa:07:7b:37:d1, -76
8489264163032, 10, eduroam, 1c:aa:07:7b:28:00, -64
8489264163032, 10, eduroam, 1c:aa:07:b0:7d:50, -65
8489264163032, 10, tudelft-dastud, 1c:aa:07:b0:74:c2, -74
8489264163032, 10, tudelft-dastud, 1c:aa:07:7b:28:0d, -79
8489264163032, 10, TUvisitor, 1c:aa:07:7b:28:0e, -79
8489264163032, 10, tudelft-dastud, d8:24:bd:4f:cf:12, -72
8489264163032, 10, eduroam, 1c:aa:07:7b:37:d0, -76
8489264163032, 10, eduroam, 1c:aa:07:7b:28:0f, -81
8489264163032, 10, TUvisitor, 1c:aa:07:b0:7d:51, -66
8496241385660, 10, RFID-AP, 00:22:f7:21:d0:38, -51
8496241385660, 10, TUvisitor, 1c:aa:07:6f:28:51, -70
8496241385660, 10, NaoNet, 00:0c:f6:6c:cf:94, -68
8496241385660, 10, CrowdGuest, 6e:a0:63:eb:9f:71, -73
8496241385660, 10, eduroam, 1c:aa:07:6f:28:50, -68
8496241385660, 10, tudelft-dastud, 1c:aa:07:7b:28:02, -59
8496241385660, 10, tudelft-dastud, 1c:aa:07:6f:28:52, -70
8496241385660, 10, , 6c:70:9f:eb:63:a0, -65
8496241385660, 10, , 6c:70:9f:eb:63:a1, -78
8496241385660, 10, CrowdGuest, 6e:a1:63:eb:9f:70, -78
8496241385660, 10, TUvisitor, 1c:aa:07:7b:28:01, -60
8496241385660, 10, tudelft-dastud, 1c:aa:07:7b:37:d2, -74
8496241385660, 10, mfold-linksys, 00:25:9c:ca:87:ee, -89
8496241385660, 10, hotspot_mike, 60:36:dd:cb:c1:4f, -85
8496241385660, 10, TUvisitor, 1c:aa:07:7b:37:d1, -73
8496241385660, 10, eduroam, 1c:aa:07:7b:28:00, -61
8496241385660, 10, eduroam, 1c:aa:07:b0:7d:50, -72
8496241385660, 10, tudelft-dastud, d8:24:bd:4f:cf:12, -72
8496241385660, 10, eduroam, 1c:aa:07:7b:37:d0, -76
8496241385660, 10, eduroam, 1c:aa:07:7b:28:0f, -81
8496241385660, 10, TUvisitor, 1c:aa:07:b0:7d:51, -66
8503166275329, 10, RFID-AP, 00:22:f7:21:d0:38, -57
8503166275329, 10, TUvisitor, 1c:aa:07:6f:28:51, -66
8503166275329, 10, NaoNet, 00:0c:f6:6c:cf:94, -71
8503166275329, 10, CrowdGuest, 6e:a0:63:eb:9f:71, -68
8503166275329, 10, eduroam, 1c:aa:07:6f:28:50, -74
8503166275329, 10, tudelft-dastud, 1c:aa:07:7b:28:02, -60
8503166275329, 10, tudelft-dastud, 1c:aa:07:6f:28:52, -74
8503166275329, 10, , 6c:70:9f:eb:63:a0, -67
8503166275329, 10, , 6c:70:9f:eb:63:a1, -79
8503166275329, 10, CrowdGuest, 6e:a1:63:eb:9f:70, -80
8503166275329, 10, TUvisitor, 1c:aa:07:7b:28:01, -60
8503166275329, 10, mfold-linksys, 00:25:9c:ca:87:ee, -89
8503166275329, 10, hotspot_mike, 60:36:dd:cb:c1:4f, -86
8503166275329, 10, TUvisitor, 1c:aa:07:7b:37:d1, -73
8503166275329, 10, eduroam, 1c:aa:07:7b:28:00, -60
8503166275329, 10, eduroam, 1c:aa:07:b0:7d:50, -72
8503166275329, 10, TUvisitor, 1c:aa:07:b0:7d:51, -69
8503166275329, 10, tudelft-dastud, 1c:aa:07:b0:7d:52, -70
8503166275329, 10, eduroam, 1c:aa:07:b0:7d:5f, -79
8503166275329, 10, mfold-dlink, 00:26:5a:a9:99:46, -76
8503166275329, 10, eduroam, d8:24:bd:4f:cf:10, -83
8503166275329, 10, netgostar, ac:7b:a1:de:ba:b6, -88
8503166275329, 10, TUvisitor, 1c:aa:07:b0:74:c1, -74
7966237690907, 10, TUvisitor, 1c:aa:07:b0:7a:b1, -77
7966237690907, 10, mfold-linksys, 00:25:9c:ca:87:ee, -67
7966237690907, 10, C150BRS4, 00:22:f7:20:a1:98, -72
7966237690907, 10, mfold-dlink, 00:26:5a:a9:99:46, -65
7966237690907, 10, RFID-AP, 00:22:f7:21:d0:38, -73
7966237690907, 10, sape, 20:c9:d0:18:43:f3, -71
7966237690907, 10, tudelft-dastud, 1c:aa:07:b0:7a:b2, -77
7966237690907, 10, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -81
7966237690907, 10, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -76
7966237690907, 10, tudelft-dastud, 1c:aa:07:6f:28:52, -62
7966237690907, 10, TUvisitor, 1c:aa:07:6f:28:51, -61
7966237690907, 10, TRIBLER, e0:3f:49:09:d9:98, -88
7966237690907, 10, TUvisitor, 1c:aa:07:b0:74:c1, -72
7966237690907, 10, eduroam, 1c:aa:07:6f:28:50, -64
7966237690907, 10, NaoNet, 00:0c:f6:6c:cf:94, -75
7966237690907, 10, tudelft-dastud, 1c:aa:07:b0:74:c2, -73
7966237690907, 10, tudelft-dastud, 1c:aa:07:b0:74:cd, -83
7966237690907, 10, TUvisitor, 1c:aa:07:6f:28:5e, -82
7966237690907, 10, eduroam, 1c:aa:07:b0:74:c0, -72
7966237690907, 10, tudelft-dastud, 1c:aa:07:7b:28:0d, -74
7966237690907, 10, tudelft-dastud, 1c:aa:07:6f:28:5d, -80
7966237690907, 10, tudelft-dastud, d8:24:bd:4f:cf:12, -76
7966237690907, 10, eduroam, d8:24:bd:4f:cf:10, -76
7966237690907, 10, TUvisitor, 1c:aa:07:7b:28:0e, -73
7966237690907, 10, TUvisitor, 1c:aa:07:b0:7d:5e, -83
7966237690907, 10, eduroam, 1c:aa:07:7b:28:00, -69
7966237690907, 10, tudelft-dastud, 1c:aa:07:7b:28:02, -69
7966237690907, 10, CrowdGuest, 6e:a0:63:eb:9f:71, -74
7966237690907, 10, , 6c:70:9f:eb:63:a0, -75
7966237690907, 10, netgostar, ac:7b:a1:de:ba:b6, -90
7966237690907, 10, TUvisitor, 1c:aa:07:7b:28:01, -70
7966237690907, 10, TUvisitor, d8:24:bd:4f:cf:11, -77
7966237690907, 10, TUvisitor, 1c:aa:07:7b:37:d1, -81
7971785317326, 10, TUvisitor, 1c:aa:07:b0:7a:b1, -77
7971785317326, 10, C150BRS4, 00:22:f7:20:a1:98, -72
7971785317326, 10, mfold-dlink, 00:26:5a:a9:99:46, -78
7971785317326, 10, RFID-AP, 00:22:f7:21:d0:38, -52
7971785317326, 10, sape, 20:c9:d0:18:43:f3, -71
7971785317326, 10, tudelft-dastud, 1c:aa:07:b0:7a:b2, -79
7971785317326, 10, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -81
7971785317326, 10, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -76
7971785317326, 10, tudelft-dastud, 1c:aa:07:6f:28:52, -66
7971785317326, 10, TUvisitor, 1c:aa:07:6f:28:51, -66
7971785317326, 10, TUvisitor, 1c:aa:07:b0:74:c1, -78
7971785317326, 10, eduroam, 1c:aa:07:6f:28:50, -66
7971785317326, 10, NaoNet, 00:0c:f6:6c:cf:94, -81
7971785317326, 10, tudelft-dastud, 1c:aa:07:b0:74:c2, -79
7971785317326, 10, tudelft-dastud, 1c:aa:07:b0:74:cd, -83
7971785317326, 10, TUvisitor, 1c:aa:07:6f:28:5e, -82
7971785317326, 10, tudelft-dastud, 1c:aa:07:7b:28:0d, -74
7971785317326, 10, tudelft-dastud, 1c:aa:07:6f:28:5d, -80
7971785317326, 10, TUvisitor, 1c:aa:07:7b:28:0e, -73
7971785317326, 10, TUvisitor, 1c:aa:07:b0:7d:5e, -83
7971785317326, 10, eduroam, 1c:aa:07:7b:28:00, -69
7971785317326, 10, tudelft-dastud, 1c:aa:07:7b:28:02, -70
7971785317326, 10, CrowdGuest, 6e:a0:63:eb:9f:71, -72
7971785317326, 10, , 6c:70:9f:eb:63:a0, -73
7971785317326, 10, netgostar, ac:7b:a1:de:ba:b6, -90
7971785317326, 10, TUvisitor, 1c:aa:07:7b:28:01, -73
7971785317326, 10, , 6c:70:9f:eb:63:a1, -86
7971785317326, 10, CrowdGuest, 6e:a1:63:eb:9f:70, -86
7971785317326, 10, TUvisitor, 1c:aa:07:b0:7d:51, -68
7974525887661, 10, TUvisitor, 1c:aa:07:b0:7a:b1, -77
7974525887661, 10, C150BRS4, 00:22:f7:20:a1:98, -72
7974525887661, 10, mfold-dlink, 00:26:5a:a9:99:46, -78
7974525887661, 10, RFID-AP, 00:22:f7:21:d0:38, -54
7974525887661, 10, sape, 20:c9:d0:18:43:f3, -71
7974525887661, 10, tudelft-dastud, 1c:aa:07:b0:7a:b2, -75
7974525887661, 10, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -81
7974525887661, 10, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -76
7974525887661, 10, tudelft-dastud, 1c:aa:07:6f:28:52, -68
7974525887661, 10, TUvisitor, 1c:aa:07:6f:28:51, -67
7974525887661, 10, TUvisitor, 1c:aa:07:b0:74:c1, -78
7974525887661, 10, eduroam, 1c:aa:07:6f:28:50, -68
7974525887661, 10, NaoNet, 00:0c:f6:6c:cf:94, -81
7974525887661, 10, tudelft-dastud, 1c:aa:07:b0:74:c2, -79
7974525887661, 10, tudelft-dastud, 1c:aa:07:b0:74:cd, -83
7974525887661, 10, TUvisitor, 1c:aa:07:6f:28:5e, -82
7974525887661, 10, tudelft-dastud, 1c:aa:07:7b:28:0d, -74
7974525887661, 10, tudelft-dastud, 1c:aa:07:6f:28:5d, -80
7974525887661, 10, TUvisitor, 1c:aa:07:7b:28:0e, -73
7974525887661, 10, TUvisitor, 1c:aa:07:b0:7d:5e, -83
7974525887661, 10, eduroam, 1c:aa:07:7b:28:00, -70
7974525887661, 10, tudelft-dastud, 1c:aa:07:7b:28:02, -70
7974525887661, 10, CrowdGuest, 6e:a0:63:eb:9f:71, -72
7974525887661, 10, , 6c:70:9f:eb:63:a0, -73
7974525887661, 10, netgostar, ac:7b:a1:de:ba:b6, -89
7974525887661, 10, TUvisitor, 1c:aa:07:7b:28:01, -70
7974525887661, 10, , 6c:70:9f:eb:63:a1, -86
7974525887661, 10, CrowdGuest, 6e:a1:63:eb:9f:70, -86
7974525887661, 10, TUvisitor, 1c:aa:07:b0:7d:51, -68
7974525887661, 10, hotspot_mike, 60:36:dd:cb:c1:4f, -85
7980365575414, 10, TUvisitor, 1c:aa:07:b0:7a:b1, -74
7980365575414, 10, mfold-dlink, 00:26:5a:a9:99:46, -77
7980365575414, 10, RFID-AP, 00:22:f7:21:d0:38, -63
7980365575414, 10, tudelft-dastud, 1c:aa:07:b0:7a:b2, -74
7980365575414, 10, tudelft-dastud, 1c:aa:07:6f:28:52, -73
7980365575414, 10, TUvisitor, 1c:aa:07:6f:28:51, -73
7980365575414, 10, TUvisitor, 1c:aa:07:b0:74:c1, -78
7980365575414, 10, eduroam, 1c:aa:07:6f:28:50, -73
7980365575414, 10, NaoNet, 00:0c:f6:6c:cf:94, -76
7980365575414, 10, tudelft-dastud, 1c:aa:07:b0:74:c2, -77
7980365575414, 10, eduroam, 1c:aa:07:7b:28:00, -68
7980365575414, 10, tudelft-dastud, 1c:aa:07:7b:28:02, -68
7980365575414, 10, CrowdGuest, 6e:a0:63:eb:9f:71, -73
7980365575414, 10, , 6c:70:9f:eb:63:a0, -74
7980365575414, 10, netgostar, ac:7b:a1:de:ba:b6, -89
7980365575414, 10, TUvisitor, 1c:aa:07:7b:28:01, -70
7980365575414, 10, , 6c:70:9f:eb:63:a1, -90
7980365575414, 10, CrowdGuest, 6e:a1:63:eb:9f:70, -91
7980365575414, 10, TUvisitor, 1c:aa:07:b0:7d:51, -68
7980365575414, 10, hotspot_mike, 60:36:dd:cb:c1:4f, -82
7980365575414, 10, eduroam, 1c:aa:07:b0:7a:b0, -74
7980365575414, 10, mfold-linksys, 00:25:9c:ca:87:ee, -79
7986053434917, 10, TUvisitor, 1c:aa:07:b0:7a:b1, -74
7986053434917, 10, mfold-dlink, 00:26:5a:a9:99:46, -77
7986053434917, 10, RFID-AP, 00:22:f7:21:d0:38, -53
7986053434917, 10, tudelft-dastud, 1c:aa:07:b0:7a:b2, -74
7986053434917, 10, tudelft-dastud, 1c:aa:07:6f:28:52, -64
7986053434917, 10, TUvisitor, 1c:aa:07:6f:28:51, -65
7986053434917, 10, TUvisitor, 1c:aa:07:b0:74:c1, -76
7986053434917, 10, eduroam, 1c:aa:07:6f:28:50, -73
7986053434917, 10, NaoNet, 00:0c:f6:6c:cf:94, -76
7986053434917, 10, tudelft-dastud, 1c:aa:07:b0:74:c2, -77
7986053434917, 10, eduroam, 1c:aa:07:7b:28:00, -69
7986053434917, 10, tudelft-dastud, 1c:aa:07:7b:28:02, -71
7986053434917, 10, CrowdGuest, 6e:a0:63:eb:9f:71, -73
7986053434917, 10, , 6c:70:9f:eb:63:a0, -74
7986053434917, 10, TUvisitor, 1c:aa:07:7b:28:01, -70
7986053434917, 10, , 6c:70:9f:eb:63:a1, -83
7986053434917, 10, CrowdGuest, 6e:a1:63:eb:9f:70, -84
7986053434917, 10, TUvisitor, 1c:aa:07:b0:7d:51, -76
7986053434917, 10, hotspot_mike, 60:36:dd:cb:c1:4f, -82
7986053434917, 10, eduroam, 1c:aa:07:b0:7a:b0, -74
7986053434917, 10, mfold-linksys, 00:25:9c:ca:87:ee, -79
7986053434917, 10, tudelft-dastud, d8:24:bd:4f:cf:12, -79
7989298526293, 10, mfold-dlink, 00:26:5a:a9:99:46, -77
