5.56983E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-84
5.56983E+13,11, ANKIT, 64:d1:a3:05:c1:68,-93
5.56983E+13,11, TP-LINK_YM, 14:75:90:28:4d:70,-92
5.56983E+13,11, erwan, 9c:d6:43:d4:d8:da,-94
5.56983E+13,11, Angus, 2e:55:f9:60:43:84,-87
5.57008E+13,11, RFID-AP, 00:22:f7:21:d0:38,-77
5.57008E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-84
5.57008E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-80
5.57008E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-81
5.57008E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-84
5.57008E+13,11, ANKIT, 64:d1:a3:05:c1:68,-93
5.57008E+13,11, erwan, 9c:d6:43:d4:d8:da,-94
5.57008E+13,11, Angus, 2e:55:f9:60:43:84,-87
5.57008E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-93
5.57008E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-80
5.57037E+13,11, RFID-AP, 00:22:f7:21:d0:38,-82
5.57037E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-84
5.57037E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-76
5.57037E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-81
5.57037E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-84
5.57037E+13,11, erwan, 9c:d6:43:d4:d8:da,-90
5.57037E+13,11, Angus, 2e:55:f9:60:43:84,-87
5.57037E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-93
5.57037E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-80
5.57037E+13,11, TP-LINK_9671B2, 14:cc:20:96:71:b2,-93
5.57062E+13,11, RFID-AP, 00:22:f7:21:d0:38,-84
5.57062E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-87
5.57062E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-76
5.57062E+13,11, erwan, 9c:d6:43:d4:d8:da,-90
5.57062E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-93
5.57062E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-80
5.57062E+13,11, TP-LINK_9671B2, 14:cc:20:96:71:b2,-93
5.57062E+13,11, Its_a_TRAP, 8c:21:0a:9a:98:f8,-88
5.57084E+13,11, RFID-AP, 00:22:f7:21:d0:38,-86
5.57084E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-87
5.57084E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-76
5.57084E+13,11, erwan, 9c:d6:43:d4:d8:da,-90
5.57084E+13,11, TP-LINK_9671B2, 14:cc:20:96:71:b2,-93
5.57084E+13,11, Its_a_TRAP, 8c:21:0a:9a:98:f8,-92
5.57107E+13,11, RFID-AP, 00:22:f7:21:d0:38,-84
5.57107E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-87
5.57107E+13,11, erwan, 9c:d6:43:d4:d8:da,-87
5.57107E+13,11, Its_a_TRAP, 8c:21:0a:9a:98:f8,-92
5.57107E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-84
5.57107E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-86
5.57107E+13,11, electric feel 2.4, 00:26:5a:c9:c4:68,-90
5.57107E+13,11, SilverMoose, 20:aa:4b:e2:ef:0b,-92
8706981666970, 11, RFID-AP, 00:22:f7:21:d0:38, -79
