12400835941688, 16, RFID-AP, 00:22:f7:21:d0:38, -68
12400835941688, 16, CrowdGuest, 6e:a0:63:eb:9f:71, -71
12400835941688, 16, TUvisitor, 1c:aa:07:7b:28:01, -50
12400835941688, 16, tudelft-dastud, 1c:aa:07:7b:28:02, -53
12400835941688, 16, , 6c:70:9f:eb:63:a0, -72
12400835941688, 16, eduroam, 1c:aa:07:7b:28:00, -51
12400835941688, 16, CrowdGuest, 6e:a1:63:eb:9f:70, -85
12400835941688, 16, , 6c:70:9f:eb:63:a1, -86
12400835941688, 16, eduroam, 1c:aa:07:b0:7d:50, -79
12400835941688, 16, tudelft-dastud, 1c:aa:07:7b:28:0d, -72
12400835941688, 16, hotspot_mike, 60:36:dd:cb:c1:4f, -83
12400835941688, 16, eduroam, 1c:aa:07:7b:37:d0, -69
12400835941688, 16, tudelft-dastud, 1c:aa:07:7b:37:d2, -70
12400835941688, 16, netgostar, ac:7b:a1:de:ba:b6, -78
12400835941688, 16, mfold-dlink, 00:26:5a:a9:99:46, -83
12400835941688, 16, TUvisitor, 1c:aa:07:b0:7d:51, -77
12400835941688, 16, tudelft-dastud, 1c:aa:07:b0:7d:52, -77
12400835941688, 16, KLINUX, 00:80:5a:47:09:1c, -91
12400835941688, 16, TUvisitor, 1c:aa:07:7b:28:0e, -73
12407737525358, 16, RFID-AP, 00:22:f7:21:d0:38, -69
12407737525358, 16, CrowdGuest, 6e:a0:63:eb:9f:71, -73
12407737525358, 16, TUvisitor, 1c:aa:07:7b:28:01, -58
12407737525358, 16, tudelft-dastud, 1c:aa:07:7b:28:02, -58
12407737525358, 16, , 6c:70:9f:eb:63:a0, -75
12407737525358, 16, eduroam, 1c:aa:07:7b:28:00, -58
12407737525358, 16, CrowdGuest, 6e:a1:63:eb:9f:70, -87
12407737525358, 16, , 6c:70:9f:eb:63:a1, -88
12407737525358, 16, eduroam, 1c:aa:07:b0:7d:50, -79
12407737525358, 16, tudelft-dastud, 1c:aa:07:7b:28:0d, -72
12407737525358, 16, tudelft-dastud, 1c:aa:07:7b:37:d2, -75
12407737525358, 16, netgostar, ac:7b:a1:de:ba:b6, -78
12407737525358, 16, mfold-dlink, 00:26:5a:a9:99:46, -86
12407737525358, 16, TUvisitor, 1c:aa:07:b0:7d:51, -80
12407737525358, 16, tudelft-dastud, 1c:aa:07:b0:7d:52, -77
12407737525358, 16, KLINUX, 00:80:5a:47:09:1c, -91
12407737525358, 16, TUvisitor, 1c:aa:07:7b:28:0e, -73
12407737525358, 16, eduroam, 1c:aa:07:7b:28:0f, -77
