1481531223166, 6, hotspot_mike, 60:36:dd:cb:c1:4f, -60
1481531223166, 6, autosound, 80:ea:96:eb:1e:fc, -72
1481531223166, 6, SLDE-™-2, 5c:96:9d:65:76:8d, -64
1481531223166, 6, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -73
1481531223166, 6, sape, 20:c9:d0:18:43:f3, -67
1481531223166, 6, sape, 20:c9:d0:18:43:f4, -77
1481531223166, 6, tudelft-dastud, 1c:aa:07:b0:7a:b2, -57
1481531223166, 6, eduroam, 1c:aa:07:b0:7a:b0, -56
1481531223166, 6, TUvisitor, 1c:aa:07:b0:7a:b1, -58
1481531223166, 6, RFID-AP, 00:22:f7:21:d0:38, -81
1481531223166, 6, mfold-dlink, 00:26:5a:a9:99:46, -72
1481531223166, 6, TRIBLER, e0:3f:49:09:d9:9c, -89
1481531223166, 6, autosound, 80:ea:96:eb:1e:fd, -91
1481531223166, 6, TUvisitor, 1c:aa:07:b0:7a:be, -67
1481531223166, 6, TRIBLER, e0:3f:49:09:d9:98, -69
1481531223166, 6, C150BRS4, 00:22:f7:20:a1:98, -86
1481531223166, 6, mfold-linksys, 00:25:9c:ca:87:ee, -83
1481531223166, 6, eduroam, 1c:aa:07:b0:7a:bf, -64
1481531223166, 6, tudelft-dastud, 1c:aa:07:b0:7a:bd, -67
1481531223166, 6, eduroam, 1c:aa:07:7b:39:10, -72
1481531223166, 6, tudelft-dastud, 1c:aa:07:7b:39:12, -73
1481531223166, 6, TUvisitor, 1c:aa:07:b0:80:c1, -74
1481531223166, 6, TUvisitor, 1c:aa:07:b0:74:c1, -73
1481531223166, 6, TUvisitor, 1c:aa:07:7b:39:11, -72
1481531223166, 6, eduroam, 1c:aa:07:b0:74:c0, -76
1481531223166, 6, eduroam, 1c:aa:07:7b:28:00, -79
1481531223166, 6, eduroam, 1c:aa:07:6e:31:a0, -80
1481531223166, 6, eduroam, 1c:aa:07:6f:28:50, -82
1486455483169, 6, hotspot_mike, 60:36:dd:cb:c1:4f, -60
1486455483169, 6, autosound, 80:ea:96:eb:1e:fc, -69
1486455483169, 6, SLDE-™-2, 5c:96:9d:65:76:8d, -62
1486455483169, 6, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -80
1486455483169, 6, sape, 20:c9:d0:18:43:f3, -73
1486455483169, 6, sape, 20:c9:d0:18:43:f4, -80
1486455483169, 6, tudelft-dastud, 1c:aa:07:b0:7a:b2, -58
1486455483169, 6, eduroam, 1c:aa:07:b0:7a:b0, -59
1486455483169, 6, TUvisitor, 1c:aa:07:b0:7a:b1, -58
1486455483169, 6, RFID-AP, 00:22:f7:21:d0:38, -72
1486455483169, 6, mfold-dlink, 00:26:5a:a9:99:46, -74
1486455483169, 6, autosound, 80:ea:96:eb:1e:fd, -87
1486455483169, 6, TUvisitor, 1c:aa:07:b0:7a:be, -67
1486455483169, 6, TRIBLER, e0:3f:49:09:d9:98, -73
1486455483169, 6, C150BRS4, 00:22:f7:20:a1:98, -85
1486455483169, 6, mfold-linksys, 00:25:9c:ca:87:ee, -83
1486455483169, 6, eduroam, 1c:aa:07:b0:7a:bf, -64
1486455483169, 6, eduroam, 1c:aa:07:7b:39:10, -72
1486455483169, 6, tudelft-dastud, 1c:aa:07:7b:39:12, -73
1486455483169, 6, TUvisitor, 1c:aa:07:b0:80:c1, -72
1486455483169, 6, TUvisitor, 1c:aa:07:b0:74:c1, -80
1486455483169, 6, TUvisitor, 1c:aa:07:7b:39:11, -81
1486455483169, 6, eduroam, 1c:aa:07:b0:74:c0, -76
1486455483169, 6, eduroam, 1c:aa:07:7b:28:00, -79
1486455483169, 6, eduroam, 1c:aa:07:6e:31:a0, -80
1486455483169, 6, eduroam, 1c:aa:07:6f:28:50, -82
1486455483169, 6, tudelft-dastud, 1c:aa:07:b0:80:c2, -70
