40166134345676, 5, hotspot_mike, 60:36:dd:cb:c1:4f, -63
40166134345676, 5, SLDE-™-2, 5c:96:9d:65:76:8d, -74
40166134345676, 5, spoofax, 28:cf:e9:13:f8:b7, -71
40166134345676, 5, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -79
40166134345676, 5, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -69
40166134345676, 5, autosound, 80:ea:96:eb:1e:fc, -81
40166134345676, 5, TRIBLER, e0:3f:49:09:d9:98, -71
40166134345676, 5, TUvisitor, 1c:aa:07:7b:39:11, -80
40166134345676, 5, autosound, 80:ea:96:eb:1e:fd, -87
40166134345676, 5, sape, 20:c9:d0:18:43:f3, -76
40166134345676, 5, sape, 20:c9:d0:18:43:f4, -83
40166134345676, 5, tudelft-dastud, 1c:aa:07:b0:7a:b2, -65
40166134345676, 5, eduroam, 1c:aa:07:b0:7a:bf, -80
40166134345676, 5, RFID-AP, 00:22:f7:21:d0:38, -70
40166134345676, 5, TRIBLER, e0:3f:49:09:d9:9c, -85
40166134345676, 5, TUvisitor, 1c:aa:07:b0:74:c1, -74
40166134345676, 5, TUvisitor, 1c:aa:07:b0:7a:be, -68
40166134345676, 5, mfold-dlink, 00:26:5a:a9:99:46, -78
40166134345676, 5, tudelft-dastud, 1c:aa:07:b0:7a:bd, -78
40166134345676, 5, mfold-linksys, 00:25:9c:ca:87:ee, -75
40166134345676, 5, eduroam, 1c:aa:07:b0:74:c0, -74
40166134345676, 5, tudelft-dastud, 1c:aa:07:b0:74:c2, -74
40166134345676, 5, eduroam, 1c:aa:07:b0:7a:b0, -65
40166134345676, 5, NaoNet3, 00:0c:f6:a6:3c:e8, -81
40166134345676, 5, TUvisitor, 1c:aa:07:b0:7a:b1, -66
40166134345676, 5, TUvisitor, 1c:aa:07:7b:28:01, -81
40173960517348, 5, hotspot_mike, 60:36:dd:cb:c1:4f, -63
40173960517348, 5, SLDE-™-2, 5c:96:9d:65:76:8d, -65
40173960517348, 5, spoofax, 28:cf:e9:13:f8:b7, -74
40173960517348, 5, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -75
40173960517348, 5, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -68
40173960517348, 5, autosound, 80:ea:96:eb:1e:fc, -72
40173960517348, 5, TRIBLER, e0:3f:49:09:d9:98, -83
40173960517348, 5, TUvisitor, 1c:aa:07:7b:39:11, -78
40173960517348, 5, sape, 20:c9:d0:18:43:f3, -76
40173960517348, 5, sape, 20:c9:d0:18:43:f4, -81
40173960517348, 5, tudelft-dastud, 1c:aa:07:b0:7a:b2, -64
40173960517348, 5, eduroam, 1c:aa:07:b0:7a:bf, -75
40173960517348, 5, RFID-AP, 00:22:f7:21:d0:38, -73
40173960517348, 5, tudelft-dastud, 1c:aa:07:b0:7a:bd, -78
40173960517348, 5, eduroam, 1c:aa:07:b0:74:c0, -76
40173960517348, 5, tudelft-dastud, 1c:aa:07:b0:74:c2, -76
40173960517348, 5, eduroam, 1c:aa:07:b0:7a:b0, -65
40173960517348, 5, TUvisitor, 1c:aa:07:b0:7a:b1, -66
40173960517348, 5, TUvisitor, 1c:aa:07:7b:28:01, -81
40173960517348, 5, eduroam, 1c:aa:07:b0:80:c0, -76
40173960517348, 5, tudelft-dastud, 1c:aa:07:b0:80:c2, -76
40173960517348, 5, tudelft-dastud, 1c:aa:07:7b:39:12, -77
40173960517348, 5, eduroam, 1c:aa:07:7b:39:10, -79
40173960517348, 5, tudelft-dastud, 1c:aa:07:7b:28:02, -83
40173960517348, 5, TUvisitor, 1c:aa:07:b0:80:c1, -75
40185946104393, 5, hotspot_mike, 60:36:dd:cb:c1:4f, -72
40185946104393, 5, SLDE-™-2, 5c:96:9d:65:76:8d, -69
40185946104393, 5, spoofax, 28:cf:e9:13:f8:b7, -61
40185946104393, 5, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -72
40185946104393, 5, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -70
40185946104393, 5, autosound, 80:ea:96:eb:1e:fc, -64
40185946104393, 5, TRIBLER, e0:3f:49:09:d9:98, -76
40185946104393, 5, TUvisitor, 1c:aa:07:7b:39:11, -79
40185946104393, 5, sape, 20:c9:d0:18:43:f3, -76
40185946104393, 5, sape, 20:c9:d0:18:43:f4, -81
40185946104393, 5, tudelft-dastud, 1c:aa:07:b0:7a:b2, -58
40185946104393, 5, eduroam, 1c:aa:07:b0:7a:bf, -71
40185946104393, 5, RFID-AP, 00:22:f7:21:d0:38, -73
40185946104393, 5, tudelft-dastud, 1c:aa:07:b0:7a:bd, -72
40185946104393, 5, eduroam, 1c:aa:07:b0:74:c0, -76
40185946104393, 5, tudelft-dastud, 1c:aa:07:b0:74:c2, -76
40185946104393, 5, eduroam, 1c:aa:07:b0:7a:b0, -58
40185946104393, 5, TUvisitor, 1c:aa:07:b0:7a:b1, -58
40185946104393, 5, eduroam, 1c:aa:07:b0:80:c0, -76
40185946104393, 5, tudelft-dastud, 1c:aa:07:b0:80:c2, -76
40185946104393, 5, tudelft-dastud, 1c:aa:07:7b:39:12, -77
40185946104393, 5, eduroam, 1c:aa:07:7b:39:10, -79
40185946104393, 5, tudelft-dastud, 1c:aa:07:7b:28:02, -83
40185946104393, 5, TUvisitor, 1c:aa:07:b0:80:c1, -76
40185946104393, 5, tudelft-dastud, 1c:aa:07:b0:7c:0d, -83
40185946104393, 5, mfold-linksys, 00:25:9c:ca:87:ee, -80
40185946104393, 5, tudelft-dastud, 1c:aa:07:6f:28:52, -80
40185946104393, 5, TRIBLER, e0:3f:49:09:d9:9c, -85
40185946104393, 5, eduroam, 1c:aa:07:b0:7c:0f, -85
40185946104393, 5, eduroam, 1c:aa:07:6f:28:50, -81
40185946104393, 5, AndroidAP, 02:1a:11:f3:22:64, -82
40185946104393, 5, C150BRS4, 00:22:f7:20:a1:98, -85
40185946104393, 5, TUvisitor, 1c:aa:07:6f:28:51, -81
40194344870647, 5, hotspot_mike, 60:36:dd:cb:c1:4f, -64
40194344870647, 5, SLDE-™-2, 5c:96:9d:65:76:8d, -70
40194344870647, 5, spoofax, 28:cf:e9:13:f8:b7, -72
40194344870647, 5, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -77
40194344870647, 5, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -75
40194344870647, 5, autosound, 80:ea:96:eb:1e:fc, -57
40194344870647, 5, TRIBLER, e0:3f:49:09:d9:98, -70
40194344870647, 5, TUvisitor, 1c:aa:07:7b:39:11, -76
40194344870647, 5, sape, 20:c9:d0:18:43:f3, -66
40194344870647, 5, sape, 20:c9:d0:18:43:f4, -79
40194344870647, 5, tudelft-dastud, 1c:aa:07:b0:7a:b2, -55
40194344870647, 5, eduroam, 1c:aa:07:b0:7a:bf, -70
40194344870647, 5, RFID-AP, 00:22:f7:21:d0:38, -74
40194344870647, 5, tudelft-dastud, 1c:aa:07:b0:7a:bd, -72
40194344870647, 5, eduroam, 1c:aa:07:b0:74:c0, -79
40194344870647, 5, eduroam, 1c:aa:07:b0:7a:b0, -57
40194344870647, 5, TUvisitor, 1c:aa:07:b0:7a:b1, -57
40194344870647, 5, eduroam, 1c:aa:07:b0:80:c0, -77
40194344870647, 5, tudelft-dastud, 1c:aa:07:b0:80:c2, -77
40194344870647, 5, TUvisitor, 1c:aa:07:b0:80:c1, -76
40194344870647, 5, tudelft-dastud, 1c:aa:07:b0:7c:0d, -83
40194344870647, 5, mfold-linksys, 00:25:9c:ca:87:ee, -82
40194344870647, 5, tudelft-dastud, 1c:aa:07:6f:28:52, -80
40194344870647, 5, TRIBLER, e0:3f:49:09:d9:9c, -86
40194344870647, 5, eduroam, 1c:aa:07:b0:7c:0f, -85
40194344870647, 5, eduroam, 1c:aa:07:6f:28:50, -81
40194344870647, 5, AndroidAP, 02:1a:11:f3:22:64, -82
40194344870647, 5, C150BRS4, 00:22:f7:20:a1:98, -88
40194344870647, 5, TUvisitor, 1c:aa:07:6f:28:51, -81
40194344870647, 5, mfold-dlink, 00:26:5a:a9:99:46, -82
39680765375861, 5, mfold-dlink, 00:26:5a:a9:99:46, -84
39680765375861, 5, hotspot_mike, 60:36:dd:cb:c1:4f, -65
39680765375861, 5, SLDE-™-2, 5c:96:9d:65:76:8d, -64
39680765375861, 5, spoofax, 28:cf:e9:13:f8:b7, -74
39680765375861, 5, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -81
39680765375861, 5, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -80
39680765375861, 5, autosound, 80:ea:96:eb:1e:fc, -60
39680765375861, 5, sape, 20:c9:d0:18:43:f3, -79
39680765375861, 5, TUvisitor, 1c:aa:07:b0:7a:b1, -67
39680765375861, 5, TRIBLER, e0:3f:49:09:d9:98, -69
39680765375861, 5, eduroam, 1c:aa:07:7b:39:10, -65
39680765375861, 5, eduroam, 1c:aa:07:7b:39:1f, -81
39680765375861, 5, NaoNet3, 00:0c:f6:a6:3c:e8, -80
39680765375861, 5, tudelft-dastud, 1c:aa:07:7b:39:12, -69
39680765375861, 5, autosound, 80:ea:96:eb:1e:fd, -79
39680765375861, 5, TUvisitor, 1c:aa:07:7b:39:11, -64
39680765375861, 5, TUvisitor, 1c:aa:07:b0:7a:be, -74
39680765375861, 5, eduroam, 1c:aa:07:6e:31:af, -77
39680765375861, 5, eduroam, 1c:aa:07:b0:7a:b0, -67
39680765375861, 5, RFID-AP, 00:22:f7:21:d0:38, -79
39680765375861, 5, tudelft-dastud, 1c:aa:07:b0:7a:b2, -67
39680765375861, 5, tudelft-dastud, 1c:aa:07:6e:31:a2, -69
39680765375861, 5, tudelft-dastud, 1c:aa:07:b0:7a:bd, -82
39680765375861, 5, AndroidAP, 02:1a:11:f3:22:64, -89
39680765375861, 5, tudelft-dastud, 1c:aa:07:6e:31:ad, -78
39680765375861, 5, sape, 20:c9:d0:18:43:f4, -85
39680765375861, 5, C150BRS4, 00:22:f7:20:a1:98, -89
39680765375861, 5, TUvisitor, 1c:aa:07:6e:31:a1, -70
39689429637283, 5, hotspot_mike, 60:36:dd:cb:c1:4f, -53
39689429637283, 5, SLDE-™-2, 5c:96:9d:65:76:8d, -74
39689429637283, 5, spoofax, 28:cf:e9:13:f8:b7, -79
39689429637283, 5, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -73
39689429637283, 5, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -74
39689429637283, 5, autosound, 80:ea:96:eb:1e:fc, -66
39689429637283, 5, sape, 20:c9:d0:18:43:f3, -76
39689429637283, 5, TUvisitor, 1c:aa:07:b0:7a:b1, -68
39689429637283, 5, TRIBLER, e0:3f:49:09:d9:98, -73
39689429637283, 5, eduroam, 1c:aa:07:7b:39:10, -72
39689429637283, 5, NaoNet3, 00:0c:f6:a6:3c:e8, -71
39689429637283, 5, tudelft-dastud, 1c:aa:07:7b:39:12, -73
39689429637283, 5, TUvisitor, 1c:aa:07:7b:39:11, -72
39689429637283, 5, TUvisitor, 1c:aa:07:b0:7a:be, -74
39689429637283, 5, eduroam, 1c:aa:07:6e:31:af, -77
39689429637283, 5, eduroam, 1c:aa:07:b0:7a:b0, -68
39689429637283, 5, tudelft-dastud, 1c:aa:07:b0:7a:b2, -67
39689429637283, 5, tudelft-dastud, 1c:aa:07:b0:7a:bd, -80
39689429637283, 5, tudelft-dastud, 1c:aa:07:6e:31:ad, -78
39689429637283, 5, sape, 20:c9:d0:18:43:f4, -90
39689429637283, 5, C150BRS4, 00:22:f7:20:a1:98, -89
39689429637283, 5, TUvisitor, 1c:aa:07:6e:31:a1, -70
39689429637283, 5, TRIBLER, e0:3f:49:09:d9:9c, -75
39689429637283, 5, eduroam, 1c:aa:07:6e:31:a0, -74
39689429637283, 5, eduroam, 1c:aa:07:b0:7a:bf, -79
39689429637283, 5, eduroam, 1c:aa:07:b0:80:c0, -76
39689429637283, 5, tudelft-dastud, 1c:aa:07:b0:80:c2, -77
39689429637283, 5, TUvisitor, 1c:aa:07:b0:80:c1, -75
39689429637283, 5, TUvisitor, 1c:aa:07:6e:31:ae, -81
39689429637283, 5, TUvisitor, 1c:aa:07:7b:39:1e, -81
39696919117660, 5, hotspot_mike, 60:36:dd:cb:c1:4f, -55
39696919117660, 5, SLDE-™-2, 5c:96:9d:65:76:8d, -64
39696919117660, 5, spoofax, 28:cf:e9:13:f8:b7, -76
39696919117660, 5, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -76
39696919117660, 5, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -74
39696919117660, 5, autosound, 80:ea:96:eb:1e:fc, -58
39696919117660, 5, sape, 20:c9:d0:18:43:f3, -84
39696919117660, 5, TUvisitor, 1c:aa:07:b0:7a:b1, -69
39696919117660, 5, TRIBLER, e0:3f:49:09:d9:98, -70
39696919117660, 5, eduroam, 1c:aa:07:7b:39:10, -70
39696919117660, 5, NaoNet3, 00:0c:f6:a6:3c:e8, -78
39696919117660, 5, tudelft-dastud, 1c:aa:07:7b:39:12, -70
39696919117660, 5, TUvisitor, 1c:aa:07:7b:39:11, -69
39696919117660, 5, eduroam, 1c:aa:07:b0:7a:b0, -68
39696919117660, 5, tudelft-dastud, 1c:aa:07:b0:7a:b2, -69
39696919117660, 5, tudelft-dastud, 1c:aa:07:b0:7a:bd, -80
39696919117660, 5, sape, 20:c9:d0:18:43:f4, -91
39696919117660, 5, TRIBLER, e0:3f:49:09:d9:9c, -75
39696919117660, 5, eduroam, 1c:aa:07:6e:31:a0, -74
39696919117660, 5, eduroam, 1c:aa:07:b0:7a:bf, -79
39696919117660, 5, eduroam, 1c:aa:07:b0:80:c0, -76
39696919117660, 5, tudelft-dastud, 1c:aa:07:b0:80:c2, -77
39696919117660, 5, TUvisitor, 1c:aa:07:b0:80:c1, -75
39696919117660, 5, TUvisitor, 1c:aa:07:6e:31:ae, -81
39696919117660, 5, TUvisitor, 1c:aa:07:7b:39:1e, -81
39696919117660, 5, RFID-AP, 00:22:f7:21:d0:38, -76
39696919117660, 5, mfold-dlink, 00:26:5a:a9:99:46, -84
39696919117660, 5, AndroidAP, 02:1a:11:f3:22:64, -88
39696919117660, 5, TUvisitor, 1c:aa:07:7b:37:01, -81
39705013093956, 5, hotspot_mike, 60:36:dd:cb:c1:4f, -55
39705013093956, 5, SLDE-™-2, 5c:96:9d:65:76:8d, -61
39705013093956, 5, spoofax, 28:cf:e9:13:f8:b7, -74
39705013093956, 5, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -76
39705013093956, 5, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -74
39705013093956, 5, autosound, 80:ea:96:eb:1e:fc, -62
39705013093956, 5, sape, 20:c9:d0:18:43:f3, -76
