7314593050347, 9, sape, 20:c9:d0:18:43:f3, -77
7314593050347, 9, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -70
7314593050347, 9, TUvisitor, 1c:aa:07:b0:7a:b1, -52
7314593050347, 9, mfold-linksys, 00:25:9c:ca:87:ee, -60
7314593050347, 9, sape, 20:c9:d0:18:43:f4, -88
7314593050347, 9, C150BRS4, 00:22:f7:20:a1:98, -70
7314593050347, 9, mfold-dlink, 00:26:5a:a9:99:46, -57
7314593050347, 9, RFID-AP, 00:22:f7:21:d0:38, -66
7314593050347, 9, tudelft-dastud, 1c:aa:07:b0:7a:b2, -51
7314593050347, 9, tudelft-dastud, 1c:aa:07:b0:74:c2, -61
7314593050347, 9, eduroam, 1c:aa:07:b0:7a:bf, -68
7314593050347, 9, tudelft-dastud, 1c:aa:07:b0:74:cd, -77
7314593050347, 9, SLDE-™-2, 5c:96:9d:65:76:8d, -75
7314593050347, 9, tudelft-dastud, 1c:aa:07:b0:7a:bd, -68
7314593050347, 9, eduroam, 1c:aa:07:b0:74:c0, -58
7314593050347, 9, eduroam, 1c:aa:07:6f:28:50, -70
7314593050347, 9, eduroam, 1c:aa:07:b0:7c:00, -78
7314593050347, 9, hotspot_mike, 60:36:dd:cb:c1:4f, -69
7314593050347, 9, autosound, 80:ea:96:eb:1e:fc, -83
7314593050347, 9, TUvisitor, 1c:aa:07:b0:80:c1, -78
7314593050347, 9, NaoNet, 00:0c:f6:6c:cf:94, -78
7314593050347, 9, TUvisitor, 1c:aa:07:6f:28:51, -69
7314593050347, 9, eduroam, 1c:aa:07:b0:7a:b0, -51
7314593050347, 9, tudelft-dastud, 1c:aa:07:6f:28:52, -70
7314593050347, 9, TUvisitor, 1c:aa:07:6e:31:a1, -81
7323760417809, 9, sape, 20:c9:d0:18:43:f3, -75
7323760417809, 9, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -73
7323760417809, 9, TUvisitor, 1c:aa:07:b0:7a:b1, -59
7323760417809, 9, mfold-linksys, 00:25:9c:ca:87:ee, -59
7323760417809, 9, sape, 20:c9:d0:18:43:f4, -88
7323760417809, 9, C150BRS4, 00:22:f7:20:a1:98, -63
7323760417809, 9, mfold-dlink, 00:26:5a:a9:99:46, -55
7323760417809, 9, RFID-AP, 00:22:f7:21:d0:38, -59
7323760417809, 9, tudelft-dastud, 1c:aa:07:b0:7a:b2, -58
7323760417809, 9, tudelft-dastud, 1c:aa:07:b0:74:c2, -61
7323760417809, 9, tudelft-dastud, 1c:aa:07:b0:74:cd, -77
7323760417809, 9, SLDE-™-2, 5c:96:9d:65:76:8d, -80
7323760417809, 9, tudelft-dastud, 1c:aa:07:b0:7a:bd, -76
7323760417809, 9, eduroam, 1c:aa:07:6f:28:50, -70
7323760417809, 9, hotspot_mike, 60:36:dd:cb:c1:4f, -74
7323760417809, 9, autosound, 80:ea:96:eb:1e:fc, -81
7323760417809, 9, TUvisitor, 1c:aa:07:b0:80:c1, -78
7323760417809, 9, TUvisitor, 1c:aa:07:6f:28:51, -70
7323760417809, 9, eduroam, 1c:aa:07:b0:7a:b0, -59
7323760417809, 9, tudelft-dastud, 1c:aa:07:6f:28:52, -70
7323760417809, 9, TUvisitor, 1c:aa:07:6e:31:a1, -81
7323760417809, 9, TUvisitor, 1c:aa:07:b0:74:c1, -55
7323760417809, 9, TUvisitor, 1c:aa:07:b0:7a:be, -75
7323760417809, 9, TUvisitor, 1c:aa:07:b0:7c:01, -79
7331085182231, 9, sape, 20:c9:d0:18:43:f3, -74
7331085182231, 9, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -73
7331085182231, 9, TUvisitor, 1c:aa:07:b0:7a:b1, -58
7331085182231, 9, mfold-linksys, 00:25:9c:ca:87:ee, -57
7331085182231, 9, sape, 20:c9:d0:18:43:f4, -87
7331085182231, 9, C150BRS4, 00:22:f7:20:a1:98, -62
7331085182231, 9, mfold-dlink, 00:26:5a:a9:99:46, -50
7331085182231, 9, RFID-AP, 00:22:f7:21:d0:38, -59
7331085182231, 9, tudelft-dastud, 1c:aa:07:b0:7a:b2, -58
7331085182231, 9, tudelft-dastud, 1c:aa:07:b0:74:cd, -73
7331085182231, 9, SLDE-™-2, 5c:96:9d:65:76:8d, -81
7331085182231, 9, tudelft-dastud, 1c:aa:07:b0:7a:bd, -76
7331085182231, 9, eduroam, 1c:aa:07:6f:28:50, -67
7331085182231, 9, hotspot_mike, 60:36:dd:cb:c1:4f, -78
7331085182231, 9, autosound, 80:ea:96:eb:1e:fc, -81
7331085182231, 9, TUvisitor, 1c:aa:07:6f:28:51, -70
