6472338644736, 8, eduroam, 1c:aa:07:b0:7a:bf, -58
6472338644736, 8, tudelft-dastud, 1c:aa:07:b0:80:c2, -74
6472338644736, 8, eduroam, 1c:aa:07:b0:80:c0, -73
6472338644736, 8, TUvisitor, 1c:aa:07:6f:28:51, -77
6472338644736, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -60
6472338644736, 8, tudelft-dastud, 1c:aa:07:b0:74:c2, -67
6472338644736, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -80
6472338644736, 8, tudelft-dastud, b8:be:bf:b7:7c:42, -81
6472338644736, 8, TP-LINK_8450A6, c0:4a:00:84:50:a6, -86
6472338644736, 8, TUvisitor, 1c:aa:07:b0:74:c1, -68
6472338644736, 8, TUvisitor, 1c:aa:07:b0:80:c1, -74
6472338644736, 8, TUvisitor, 1c:aa:07:b0:74:ce, -81
6246464674337, 8, sape, 20:c9:d0:18:43:f3, -78
6246464674337, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -77
6246464674337, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -70
6246464674337, 8, autosound, 80:ea:96:eb:1e:fc, -84
6246464674337, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -74
6246464674337, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -50
6246464674337, 8, sape, 20:c9:d0:18:43:f4, -87
6246464674337, 8, mfold-dlink, 00:26:5a:a9:99:46, -55
6246464674337, 8, mfold-linksys, 00:25:9c:ca:87:ee, -70
6246464674337, 8, C150BRS4, 00:22:f7:20:a1:98, -73
6246464674337, 8, RFID-AP, 00:22:f7:21:d0:38, -62
6246464674337, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -50
6246464674337, 8, tudelft-dastud, 1c:aa:07:7b:28:02, -76
6246464674337, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -63
6246464674337, 8, tudelft-dastud, 1c:aa:07:b0:74:c2, -70
6246464674337, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -78
6246464674337, 8, TUvisitor, 1c:aa:07:b0:7a:be, -73
6246464674337, 8, TUvisitor, 1c:aa:07:b0:74:c1, -73
6246464674337, 8, TUvisitor, 1c:aa:07:b0:74:ce, -79
6246464674337, 8, TUvisitor, 1c:aa:07:6f:28:51, -77
6246464674337, 8, eduroam, 1c:aa:07:b0:7a:b0, -51
6246464674337, 8, eduroam, 1c:aa:07:b0:7a:bf, -63
6246464674337, 8, eduroam, 1c:aa:07:6f:28:50, -66
6246464674337, 8, tudelft-dastud, 1c:aa:07:b0:74:cd, -74
6246464674337, 8, NaoNet, 00:0c:f6:6c:cf:94, -82
6246464674337, 8, CrowdGuest, 6e:a0:63:eb:9f:71, -88
6253727566132, 8, sape, 20:c9:d0:18:43:f3, -77
6253727566132, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -75
6253727566132, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -76
6253727566132, 8, autosound, 80:ea:96:eb:1e:fc, -77
6253727566132, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -72
6253727566132, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -51
6253727566132, 8, sape, 20:c9:d0:18:43:f4, -82
6253727566132, 8, mfold-dlink, 00:26:5a:a9:99:46, -67
6253727566132, 8, mfold-linksys, 00:25:9c:ca:87:ee, -66
6253727566132, 8, C150BRS4, 00:22:f7:20:a1:98, -71
6253727566132, 8, RFID-AP, 00:22:f7:21:d0:38, -60
6253727566132, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -51
6253727566132, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -63
6253727566132, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -71
6253727566132, 8, TUvisitor, 1c:aa:07:b0:7a:be, -65
6253727566132, 8, eduroam, 1c:aa:07:b0:7a:b0, -52
6253727566132, 8, eduroam, 1c:aa:07:b0:7a:bf, -63
6253727566132, 8, eduroam, 1c:aa:07:6f:28:50, -71
6253727566132, 8, tudelft-dastud, 1c:aa:07:b0:74:cd, -74
6253727566132, 8, NaoNet, 00:0c:f6:6c:cf:94, -82
6253727566132, 8, CrowdGuest, 6e:a0:63:eb:9f:71, -88
6253727566132, 8, eduroam, 1c:aa:07:b0:74:cf, -78
6253727566132, 8, TRIBLER, e0:3f:49:09:d9:98, -83
6260852200135, 8, sape, 20:c9:d0:18:43:f3, -67
6260852200135, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -76
6260852200135, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -76
6260852200135, 8, autosound, 80:ea:96:eb:1e:fc, -86
6260852200135, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -72
6260852200135, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -52
6260852200135, 8, sape, 20:c9:d0:18:43:f4, -80
6260852200135, 8, mfold-dlink, 00:26:5a:a9:99:46, -61
6260852200135, 8, mfold-linksys, 00:25:9c:ca:87:ee, -70
6260852200135, 8, C150BRS4, 00:22:f7:20:a1:98, -75
6260852200135, 8, RFID-AP, 00:22:f7:21:d0:38, -71
6260852200135, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -51
6260852200135, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -67
6260852200135, 8, TUvisitor, 1c:aa:07:b0:7a:be, -65
6260852200135, 8, eduroam, 1c:aa:07:b0:7a:b0, -52
6260852200135, 8, eduroam, 1c:aa:07:b0:7a:bf, -78
6260852200135, 8, eduroam, 1c:aa:07:6f:28:50, -67
6260852200135, 8, tudelft-dastud, 1c:aa:07:b0:74:cd, -80
6260852200135, 8, NaoNet, 00:0c:f6:6c:cf:94, -82
6260852200135, 8, eduroam, 1c:aa:07:b0:74:cf, -78
6260852200135, 8, TRIBLER, e0:3f:49:09:d9:98, -83
6260852200135, 8, tudelft-dastud, 1c:aa:07:b0:74:c2, -67
6260852200135, 8, eduroam, 1c:aa:07:b0:74:c0, -68
6260852200135, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -90
6260852200135, 8, TUvisitor, 1c:aa:07:b0:74:c1, -68
6260852200135, 8, TUvisitor, 1c:aa:07:b0:74:ce, -80
6260852200135, 8, TUvisitor, 1c:aa:07:b0:80:c1, -77
6268366156139, 8, sape, 20:c9:d0:18:43:f3, -82
6268366156139, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -79
6268366156139, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -66
6268366156139, 8, autosound, 80:ea:96:eb:1e:fc, -86
6268366156139, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -51
6268366156139, 8, sape, 20:c9:d0:18:43:f4, -81
6268366156139, 8, mfold-dlink, 00:26:5a:a9:99:46, -64
6268366156139, 8, mfold-linksys, 00:25:9c:ca:87:ee, -74
6268366156139, 8, C150BRS4, 00:22:f7:20:a1:98, -65
6268366156139, 8, RFID-AP, 00:22:f7:21:d0:38, -59
6268366156139, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -52
6268366156139, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -67
6268366156139, 8, eduroam, 1c:aa:07:b0:7a:b0, -51
6268366156139, 8, eduroam, 1c:aa:07:b0:7a:bf, -66
6268366156139, 8, eduroam, 1c:aa:07:6f:28:50, -67
6268366156139, 8, tudelft-dastud, 1c:aa:07:b0:74:cd, -80
6268366156139, 8, TRIBLER, e0:3f:49:09:d9:98, -82
6268366156139, 8, tudelft-dastud, 1c:aa:07:b0:74:c2, -57
6268366156139, 8, eduroam, 1c:aa:07:b0:74:c0, -68
6268366156139, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -91
6268366156139, 8, TUvisitor, 1c:aa:07:b0:74:c1, -56
6268366156139, 8, TUvisitor, 1c:aa:07:b0:74:ce, -80
6268366156139, 8, TUvisitor, 1c:aa:07:b0:80:c1, -76
6268366156139, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -66
6268366156139, 8, tudelft-dastud, 1c:aa:07:b0:80:c2, -74
6268366156139, 8, eduroam, 1c:aa:07:b0:80:c0, -75
6276267207269, 8, sape, 20:c9:d0:18:43:f3, -73
6276267207269, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -72
6276267207269, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -78
6276267207269, 8, autosound, 80:ea:96:eb:1e:fc, -83
6276267207269, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -48
6276267207269, 8, sape, 20:c9:d0:18:43:f4, -88
6276267207269, 8, mfold-dlink, 00:26:5a:a9:99:46, -61
6276267207269, 8, mfold-linksys, 00:25:9c:ca:87:ee, -64
6276267207269, 8, C150BRS4, 00:22:f7:20:a1:98, -74
6276267207269, 8, RFID-AP, 00:22:f7:21:d0:38, -60
6276267207269, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -52
6276267207269, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -67
6276267207269, 8, eduroam, 1c:aa:07:b0:7a:b0, -53
6276267207269, 8, eduroam, 1c:aa:07:b0:7a:bf, -74
6276267207269, 8, eduroam, 1c:aa:07:6f:28:50, -69
6276267207269, 8, tudelft-dastud, 1c:aa:07:b0:74:cd, -80
6276267207269, 8, TRIBLER, e0:3f:49:09:d9:98, -82
6276267207269, 8, tudelft-dastud, 1c:aa:07:b0:74:c2, -57
6276267207269, 8, eduroam, 1c:aa:07:b0:74:c0, -60
6276267207269, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -90
6276267207269, 8, TUvisitor, 1c:aa:07:b0:74:c1, -56
6276267207269, 8, TUvisitor, 1c:aa:07:b0:80:c1, -76
6276267207269, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -66
6276267207269, 8, tudelft-dastud, 1c:aa:07:b0:80:c2, -74
6276267207269, 8, eduroam, 1c:aa:07:b0:80:c0, -75
6276267207269, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -80
6276267207269, 8, CrowdGuest, 6e:a0:63:eb:9f:71, -88
6276267207269, 8, TUvisitor, 1c:aa:07:7b:28:01, -74
