10665909150195, 14, RFID-AP, 00:22:f7:21:d0:38, -70
10665909150195, 14, CrowdGuest, 6e:a0:63:eb:9f:71, -72
10665909150195, 14, , 6c:70:9f:eb:63:a0, -72
10665909150195, 14, TUvisitor, 1c:aa:07:7b:28:01, -62
10665909150195, 14, eduroam, 1c:aa:07:7b:28:00, -61
10665909150195, 14, tudelft-dastud, 1c:aa:07:7b:28:02, -60
10665909150195, 14, hotspot_mike, 60:36:dd:cb:c1:4f, -88
10665909150195, 14, netgostar, ac:7b:a1:de:ba:b6, -82
10665909150195, 14, eduroam, 1c:aa:07:7b:28:0f, -71
10665909150195, 14, mfold-dlink, 00:26:5a:a9:99:46, -85
10665909150195, 14, , 6c:70:9f:eb:63:a1, -72
10665909150195, 14, CrowdGuest, 6e:a1:63:eb:9f:70, -73
10665909150195, 14, TUvisitor, 1c:aa:07:6f:28:51, -78
10665909150195, 14, tudelft-dastud, 1c:aa:07:b0:7d:52, -73
10665909150195, 14, eduroam, 1c:aa:07:7b:37:d0, -76
10665909150195, 14, eduroam, 1c:aa:07:6f:28:50, -78
10665909150195, 14, tudelft-dastud, 1c:aa:07:6f:28:52, -79
10665909150195, 14, NaoNet, 00:0c:f6:6c:cf:94, -80
10665909150195, 14, tudelft-dastud, 1c:aa:07:b0:7a:b2, -81
10665909150195, 14, TUvisitor, 1c:aa:07:7b:28:0e, -76
10665909150195, 14, TUvisitor, 1c:aa:07:b0:7d:51, -73
10673214765948, 14, RFID-AP, 00:22:f7:21:d0:38, -60
10673214765948, 14, CrowdGuest, 6e:a0:63:eb:9f:71, -68
10673214765948, 14, , 6c:70:9f:eb:63:a0, -68
10673214765948, 14, TUvisitor, 1c:aa:07:7b:28:01, -63
10673214765948, 14, eduroam, 1c:aa:07:7b:28:00, -69
10673214765948, 14, tudelft-dastud, 1c:aa:07:7b:28:02, -69
10673214765948, 14, hotspot_mike, 60:36:dd:cb:c1:4f, -88
10673214765948, 14, mfold-dlink, 00:26:5a:a9:99:46, -81
10673214765948, 14, , 6c:70:9f:eb:63:a1, -78
10673214765948, 14, CrowdGuest, 6e:a1:63:eb:9f:70, -80
10673214765948, 14, TUvisitor, 1c:aa:07:6f:28:51, -78
10673214765948, 14, tudelft-dastud, 1c:aa:07:b0:7d:52, -73
