10274725162216, 13, RFID-AP, 00:22:f7:21:d0:38, -58
10274725162216, 13, CrowdGuest, 6e:a0:63:eb:9f:71, -56
10274725162216, 13, , 6c:70:9f:eb:63:a0, -57
10274725162216, 13, NaoNet, 00:0c:f6:6c:cf:94, -67
10274725162216, 13, CrowdGuest, 6e:a1:63:eb:9f:70, -64
10274725162216, 13, TUvisitor, 1c:aa:07:7b:28:01, -53
10274725162216, 13, eduroam, 1c:aa:07:7b:28:00, -53
10274725162216, 13, tudelft-dastud, 1c:aa:07:7b:28:02, -54
10274725162216, 13, , 6c:70:9f:eb:63:a1, -64
10274725162216, 13, TUvisitor, 1c:aa:07:b0:7d:5e, -78
10274725162216, 13, eduroam, 1c:aa:07:7b:37:d0, -70
10274725162216, 13, eduroam, 1c:aa:07:6f:28:50, -77
10274725162216, 13, eduroam, 1c:aa:07:7b:28:0f, -76
10274725162216, 13, tudelft-dastud, 1c:aa:07:7b:28:0d, -73
10274725162216, 13, eduroam, 1c:aa:07:b0:7d:50, -63
10274725162216, 13, tudelft-dastud, 1c:aa:07:b0:7d:5d, -78
10274725162216, 13, TUvisitor, 1c:aa:07:7b:37:d1, -70
10274725162216, 13, tudelft-dastud, 1c:aa:07:7b:37:d2, -69
10274725162216, 13, tudelft-dastud, 1c:aa:07:6f:28:52, -76
10274725162216, 13, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -88
10274725162216, 13, mfold-dlink, 00:26:5a:a9:99:46, -88
10274725162216, 13, netgostar, ac:7b:a1:de:ba:b6, -89
10274725162216, 13, TUvisitor, 1c:aa:07:6f:28:51, -77
10281414958677, 13, RFID-AP, 00:22:f7:21:d0:38, -61
10281414958677, 13, CrowdGuest, 6e:a0:63:eb:9f:71, -59
10281414958677, 13, , 6c:70:9f:eb:63:a0, -58
10281414958677, 13, NaoNet, 00:0c:f6:6c:cf:94, -78
10281414958677, 13, CrowdGuest, 6e:a1:63:eb:9f:70, -68
10281414958677, 13, TUvisitor, 1c:aa:07:7b:28:01, -55
10281414958677, 13, eduroam, 1c:aa:07:7b:28:00, -55
10281414958677, 13, tudelft-dastud, 1c:aa:07:7b:28:02, -54
10281414958677, 13, , 6c:70:9f:eb:63:a1, -68
10281414958677, 13, eduroam, 1c:aa:07:7b:37:d0, -66
10281414958677, 13, eduroam, 1c:aa:07:7b:28:0f, -74
10281414958677, 13, tudelft-dastud, 1c:aa:07:7b:28:0d, -73
10281414958677, 13, eduroam, 1c:aa:07:b0:7d:50, -63
10281414958677, 13, tudelft-dastud, 1c:aa:07:b0:7d:5d, -78
10281414958677, 13, TUvisitor, 1c:aa:07:7b:37:d1, -67
10281414958677, 13, tudelft-dastud, 1c:aa:07:7b:37:d2, -66
10281414958677, 13, tudelft-dastud, 1c:aa:07:6f:28:52, -80
10281414958677, 13, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -88
10281414958677, 13, mfold-dlink, 00:26:5a:a9:99:46, -88
10281414958677, 13, netgostar, ac:7b:a1:de:ba:b6, -89
10281414958677, 13, TUvisitor, 1c:aa:07:6f:28:51, -80
10281414958677, 13, tudelft-dastud, 1c:aa:07:b0:7d:52, -64
10281414958677, 13, eduroam, 1c:aa:07:b0:7d:5f, -80
10281414958677, 13, TUvisitor, 1c:aa:07:b0:7d:51, -63
10288198368307, 13, RFID-AP, 00:22:f7:21:d0:38, -60
10288198368307, 13, CrowdGuest, 6e:a0:63:eb:9f:71, -62
10288198368307, 13, , 6c:70:9f:eb:63:a0, -55
10288198368307, 13, NaoNet, 00:0c:f6:6c:cf:94, -81
10288198368307, 13, CrowdGuest, 6e:a1:63:eb:9f:70, -66
10288198368307, 13, TUvisitor, 1c:aa:07:7b:28:01, -47
10288198368307, 13, eduroam, 1c:aa:07:7b:28:00, -47
10288198368307, 13, tudelft-dastud, 1c:aa:07:7b:28:02, -47
10288198368307, 13, , 6c:70:9f:eb:63:a1, -66
10288198368307, 13, eduroam, 1c:aa:07:7b:37:d0, -67
10288198368307, 13, eduroam, 1c:aa:07:7b:28:0f, -74
10288198368307, 13, tudelft-dastud, 1c:aa:07:7b:28:0d, -66
10288198368307, 13, eduroam, 1c:aa:07:b0:7d:50, -60
10288198368307, 13, tudelft-dastud, 1c:aa:07:b0:7d:5d, -78
10288198368307, 13, TUvisitor, 1c:aa:07:7b:37:d1, -67
10288198368307, 13, tudelft-dastud, 1c:aa:07:7b:37:d2, -67
