5.52E+13,2, TUvisitor, 24:01:c7:76:2a:31,-79
5.52E+13,2, TUvisitor, 1c:aa:07:b0:7c:01,-85
161896942996, 2, hotspot_mike, 60:36:dd:cb:c1:4f, -45
161896942996, 2, autosound, 80:ea:96:eb:1e:fc, -59
161896942996, 2, autosound, 80:ea:96:eb:1e:fd, -65
161896942996, 2, eduroam, 1c:aa:07:7b:39:10, -70
161896942996, 2, SLDE-™-2, 5c:96:9d:65:76:8d, -67
161896942996, 2, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -73
161896942996, 2, NaoNet3, 00:0c:f6:a6:3c:e8, -71
161896942996, 2, TRIBLER, e0:3f:49:09:d9:98, -69
161896942996, 2, sape, 20:c9:d0:18:43:f3, -79
161896942996, 2, TUvisitor, 1c:aa:07:7b:39:11, -72
161896942996, 2, tudelft-dastud, 1c:aa:07:7b:39:12, -72
161896942996, 2, eduroam, 1c:aa:07:b0:7a:b0, -61
161896942996, 2, tudelft-dastud, 1c:aa:07:b0:7a:b2, -62
161896942996, 2, TUvisitor, 1c:aa:07:b0:7a:b1, -62
161896942996, 2, TRIBLER, e0:3f:49:09:d9:9c, -78
161896942996, 2, eduroam, 1c:aa:07:7b:37:00, -78
161896942996, 2, mfold-linksys, 00:25:9c:ca:87:ee, -85
161896942996, 2, TUvisitor, 1c:aa:07:b0:7a:be, -82
161896942996, 2, TUvisitor, 1c:aa:07:b0:7c:01, -79
161896942996, 2, tudelft-dastud, 1c:aa:07:b0:7c:02, -78
161896942996, 2, eduroam, 1c:aa:07:b0:7c:00, -79
161896942996, 2, tudelft-dastud, 1c:aa:07:6e:31:ad, -69
161896942996, 2, TUvisitor, 1c:aa:07:6e:31:ae, -70
161896942996, 2, eduroam, 1c:aa:07:6e:31:af, -67
161896942996, 2, tudelft-dastud, 1c:aa:07:7b:37:02, -77
161896942996, 2, SANDER, 1c:af:f7:18:0e:4a, -89
161896942996, 2, TUvisitor, 1c:aa:07:7b:39:1e, -72
161896942996, 2, TUvisitor, 1c:aa:07:7b:37:01, -78
161896942996, 2, tudelft-dastud, 1c:aa:07:6e:31:a2, -62
161896942996, 2, eduroam, 1c:aa:07:6e:31:a0, -62
161896942996, 2, eduroam, 24:01:c7:76:2a:30, -75
161896942996, 2, TUvisitor, 1c:aa:07:6e:31:a1, -63
174036372918, 2, hotspot_mike, 60:36:dd:cb:c1:4f, -42
174036372918, 2, autosound, 80:ea:96:eb:1e:fc, -59
174036372918, 2, autosound, 80:ea:96:eb:1e:fd, -65
174036372918, 2, eduroam, 1c:aa:07:7b:39:10, -63
174036372918, 2, SLDE-™-2, 5c:96:9d:65:76:8d, -62
174036372918, 2, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -73
174036372918, 2, NaoNet3, 00:0c:f6:a6:3c:e8, -71
174036372918, 2, TRIBLER, e0:3f:49:09:d9:98, -69
174036372918, 2, sape, 20:c9:d0:18:43:f3, -79
174036372918, 2, TUvisitor, 1c:aa:07:7b:39:11, -63
