5.45577E+13,4, autosound, 80:ea:96:eb:1e:fc,-73
5.45577E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-59
5.45577E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-79
5.45577E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-73
5.45577E+13,4, RFID-AP, 00:22:f7:21:d0:38,-80
5.45577E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-74
5.45577E+13,4, sape, 20:c9:d0:18:43:f3,-90
5.45577E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-82
5.45577E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-75
5.45577E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-93
5.45577E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-92
5.45577E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-73
5.45577E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-89
5.45577E+13,4, tudelft-dastud, 1c:aa:07:6f:28:52,-88
5.45577E+13,4, Router_Joost, 48:f8:b3:40:f1:a9,-99
5.45577E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-77
5.45577E+13,4, tudelft-dastud, 1c:aa:07:7b:28:02,-85
5.45577E+13,4, SANDER, 1c:af:f7:18:0e:4a,-97
5.45577E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-80
5.45615E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-78
5.45615E+13,4, autosound, 80:ea:96:eb:1e:fc,-73
5.45615E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-62
5.45615E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-78
5.45615E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-82
5.45615E+13,4, RFID-AP, 00:22:f7:21:d0:38,-88
5.45615E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-80
5.45615E+13,4, sape, 20:c9:d0:18:43:f3,-88
5.45615E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-82
5.45615E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-82
5.45615E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-93
5.45615E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-88
5.45615E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-82
5.45615E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-89
5.45615E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-80
5.45615E+13,4, tudelft-dastud, 1c:aa:07:7b:28:02,-85
5.45615E+13,4, SANDER, 1c:af:f7:18:0e:4a,-97
5.45615E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-78
5.45615E+13,4, eduroam, 1c:aa:07:6e:31:a0,-80
5.45615E+13,4, eduroam, 1c:aa:07:b0:80:c0,-87
5.45615E+13,4, tudelft-dastud, 1c:aa:07:b0:80:c2,-88
5.45615E+13,4, TUDelft-Event, 1c:aa:07:b0:80:c3,-88
5.45615E+13,4, C150BRS4, 00:22:f7:20:a1:98,-97
5.45615E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-79
5.45615E+13,4, TUvisitor, 1c:aa:07:b0:80:c1,-87
5.45662E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-84
5.45662E+13,4, autosound, 80:ea:96:eb:1e:fc,-69
5.45662E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-67
5.45662E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-75
5.45662E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-76
5.45662E+13,4, RFID-AP, 00:22:f7:21:d0:38,-85
5.45662E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-79
5.45662E+13,4, sape, 20:c9:d0:18:43:f3,-89
5.45662E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-84
5.45662E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-82
5.45662E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-96
5.45662E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-88
5.45662E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-82
5.45662E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-79
5.45662E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-78
5.45662E+13,4, eduroam, 1c:aa:07:6e:31:a0,-79
5.45662E+13,4, eduroam, 1c:aa:07:b0:80:c0,-87
5.45662E+13,4, tudelft-dastud, 1c:aa:07:b0:80:c2,-88
5.45662E+13,4, TUDelft-Event, 1c:aa:07:b0:80:c3,-88
5.45662E+13,4, C150BRS4, 00:22:f7:20:a1:98,-97
5.45662E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-79
5.45662E+13,4, TUvisitor, 1c:aa:07:b0:80:c1,-87
5.45662E+13,4, eduroam, 1c:aa:07:7b:39:10,-75
5.45662E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-80
5.45695E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-86
5.45695E+13,4, autosound, 80:ea:96:eb:1e:fc,-62
5.45695E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-67
5.45695E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-77
5.45695E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-74
5.45695E+13,4, RFID-AP, 00:22:f7:21:d0:38,-92
5.45695E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-74
5.45695E+13,4, sape, 20:c9:d0:18:43:f3,-83
5.45695E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-84
5.45695E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-96
5.45695E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-76
5.45695E+13,4, eduroam, 1c:aa:07:6e:31:a0,-79
5.45695E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-79
5.45695E+13,4, eduroam, 1c:aa:07:7b:39:10,-75
5.45695E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-80
5.45722E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-76
5.45722E+13,4, autosound, 80:ea:96:eb:1e:fc,-63
5.45722E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-68
5.45722E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-70
5.45722E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-74
5.45722E+13,4, RFID-AP, 00:22:f7:21:d0:38,-88
5.45722E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-74
5.45722E+13,4, sape, 20:c9:d0:18:43:f3,-83
5.45722E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-76
