9472410841210, 12, RFID-AP, 00:22:f7:21:d0:38, -58
9472410841210, 12, CrowdGuest, 6e:a0:63:eb:9f:71, -60
9472410841210, 12, , 6c:70:9f:eb:63:a0, -61
9472410841210, 12, tudelft-dastud, 1c:aa:07:7b:28:02, -56
9472410841210, 12, eduroam, 1c:aa:07:7b:28:00, -57
9472410841210, 12, NaoNet, 00:0c:f6:6c:cf:94, -73
9472410841210, 12, eduroam, 1c:aa:07:6f:28:50, -68
9472410841210, 12, TUvisitor, 1c:aa:07:b0:7d:51, -58
9472410841210, 12, CrowdGuest, 6e:a1:63:eb:9f:70, -71
9472410841210, 12, eduroam, 1c:aa:07:b0:7d:50, -54
9472410841210, 12, , 6c:70:9f:eb:63:a1, -71
9472410841210, 12, tudelft-dastud, 1c:aa:07:b0:7d:5d, -72
9472410841210, 12, tudelft-dastud, 1c:aa:07:b0:7d:52, -53
9472410841210, 12, TUvisitor, 1c:aa:07:b0:7d:5e, -76
9472410841210, 12, TUvisitor, 1c:aa:07:7b:37:d1, -71
9472410841210, 12, tudelft-dastud, 1c:aa:07:6f:28:52, -68
9472410841210, 12, TUvisitor, 1c:aa:07:6f:28:51, -68
9472410841210, 12, eduroam, 1c:aa:07:b0:74:c0, -76
9472410841210, 12, TUvisitor, 24:01:c7:29:99:41, -73
9472410841210, 12, TUvisitor, 1c:aa:07:7b:28:01, -55
9472410841210, 12, netgostar, ac:7b:a1:de:ba:b6, -84
9472410841210, 12, TUvisitor, 1c:aa:07:7b:28:0e, -76
9472410841210, 12, tudelft-dastud, 1c:aa:07:7b:28:0d, -69
9472410841210, 12, mfold-dlink, 00:26:5a:a9:99:46, -82
9479420132837, 12, RFID-AP, 00:22:f7:21:d0:38, -56
9479420132837, 12, CrowdGuest, 6e:a0:63:eb:9f:71, -63
9479420132837, 12, , 6c:70:9f:eb:63:a0, -63
9479420132837, 12, tudelft-dastud, 1c:aa:07:7b:28:02, -64
9479420132837, 12, eduroam, 1c:aa:07:7b:28:00, -63
9479420132837, 12, NaoNet, 00:0c:f6:6c:cf:94, -70
9479420132837, 12, eduroam, 1c:aa:07:6f:28:50, -68
9479420132837, 12, TUvisitor, 1c:aa:07:b0:7d:51, -61
9479420132837, 12, CrowdGuest, 6e:a1:63:eb:9f:70, -72
9479420132837, 12, eduroam, 1c:aa:07:b0:7d:50, -54
9479420132837, 12, , 6c:70:9f:eb:63:a1, -72
9479420132837, 12, tudelft-dastud, 1c:aa:07:b0:7d:5d, -72
9479420132837, 12, TUvisitor, 1c:aa:07:7b:37:d1, -71
9479420132837, 12, tudelft-dastud, 1c:aa:07:6f:28:52, -68
9479420132837, 12, TUvisitor, 1c:aa:07:6f:28:51, -70
9479420132837, 12, TUvisitor, 1c:aa:07:7b:28:01, -60
9479420132837, 12, netgostar, ac:7b:a1:de:ba:b6, -84
9479420132837, 12, tudelft-dastud, 1c:aa:07:7b:28:0d, -69
9479420132837, 12, mfold-dlink, 00:26:5a:a9:99:46, -82
9479420132837, 12, eduroam, 1c:aa:07:b0:7d:5f, -69
9479420132837, 12, tudelft-dastud, 1c:aa:07:7b:37:d2, -67
9479420132837, 12, eduroam, 1c:aa:07:7b:37:d0, -67
9479420132837, 12, tudelft-dastud, d8:24:bd:4f:cf:12, -80
9479420132837, 12, tudelft-dastud, 24:01:c7:29:99:42, -80
9479420132837, 12, TUvisitor, 1c:aa:07:b0:74:c1, -76
9479420132837, 12, TUvisitor, 1c:aa:07:7b:37:de, -83
9479420132837, 12, TUvisitor, d8:24:bd:4f:cf:11, -79
9486511337965, 12, RFID-AP, 00:22:f7:21:d0:38, -54
9486511337965, 12, CrowdGuest, 6e:a0:63:eb:9f:71, -67
9486511337965, 12, , 6c:70:9f:eb:63:a0, -69
9486511337965, 12, tudelft-dastud, 1c:aa:07:7b:28:02, -57
9486511337965, 12, eduroam, 1c:aa:07:7b:28:00, -57
9486511337965, 12, NaoNet, 00:0c:f6:6c:cf:94, -66
9486511337965, 12, eduroam, 1c:aa:07:6f:28:50, -70
9486511337965, 12, TUvisitor, 1c:aa:07:b0:7d:51, -54
9486511337965, 12, CrowdGuest, 6e:a1:63:eb:9f:70, -76
9486511337965, 12, , 6c:70:9f:eb:63:a1, -75
