13252039691969, 17, RFID-AP, 00:22:f7:21:d0:38, -68
13252039691969, 17, TUvisitor, 1c:aa:07:7b:28:01, -36
13252039691969, 17, , 6c:70:9f:eb:63:a0, -66
13252039691969, 17, , 6c:70:9f:eb:63:a1, -85
13252039691969, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13252039691969, 17, eduroam, 1c:aa:07:7b:28:00, -36
13252039691969, 17, netgostar, ac:7b:a1:de:ba:b6, -75
13252039691969, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -66
13252039691969, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -84
13252039691969, 17, tudelft-dastud, 1c:aa:07:7b:37:d2, -71
13252039691969, 17, eduroam, 1c:aa:07:b0:7d:50, -73
13252039691969, 17, eduroam, 1c:aa:07:7b:28:0f, -39
13252039691969, 17, TUvisitor, 1c:aa:07:7b:37:de, -81
13252039691969, 17, tudelft-dastud, 1c:aa:07:7b:28:0d, -46
13252039691969, 17, eduroam, 1c:aa:07:7b:37:d0, -71
13252039691969, 17, tudelft-dastud, 1c:aa:07:b0:7d:52, -74
13252039691969, 17, tudelft-dastud, 1c:aa:07:7b:37:dd, -81
13252039691969, 17, eduroam, 1c:aa:07:7b:37:df, -82
13252039691969, 17, TUvisitor, 1c:aa:07:7b:28:0e, -47
13252039691969, 17, TUvisitor, 1c:aa:07:7b:37:d1, -71
13252039691969, 17, TUvisitor, 1c:aa:07:b0:7d:51, -75
13258519097014, 17, RFID-AP, 00:22:f7:21:d0:38, -66
13258519097014, 17, TUvisitor, 1c:aa:07:7b:28:01, -37
13258519097014, 17, , 6c:70:9f:eb:63:a0, -66
13258519097014, 17, , 6c:70:9f:eb:63:a1, -84
13258519097014, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13258519097014, 17, eduroam, 1c:aa:07:7b:28:00, -37
13258519097014, 17, netgostar, ac:7b:a1:de:ba:b6, -62
13258519097014, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -66
13258519097014, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -84
13258519097014, 17, tudelft-dastud, 1c:aa:07:7b:37:d2, -71
13258519097014, 17, TUvisitor, 1c:aa:07:7b:37:de, -81
13258519097014, 17, tudelft-dastud, 1c:aa:07:7b:28:0d, -46
13258519097014, 17, eduroam, 1c:aa:07:7b:37:d0, -71
13258519097014, 17, tudelft-dastud, 1c:aa:07:b0:7d:52, -74
13258519097014, 17, tudelft-dastud, 1c:aa:07:7b:37:dd, -81
13258519097014, 17, eduroam, 1c:aa:07:7b:37:df, -82
13258519097014, 17, TUvisitor, 1c:aa:07:7b:28:0e, -46
13258519097014, 17, TUvisitor, 1c:aa:07:7b:37:d1, -71
13258519097014, 17, TUvisitor, 1c:aa:07:b0:7d:51, -75
13258519097014, 17, NaoNet, 00:0c:f6:6c:cf:94, -80
13258519097014, 17, , 00:15:70:ad:99:ca, -89
13258519097014, 17, TUvisitor, 24:01:c7:76:27:31, -82
13266440417643, 17, RFID-AP, 00:22:f7:21:d0:38, -65
13266440417643, 17, TUvisitor, 1c:aa:07:7b:28:01, -34
13266440417643, 17, , 6c:70:9f:eb:63:a0, -72
13266440417643, 17, , 6c:70:9f:eb:63:a1, -84
13266440417643, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13266440417643, 17, eduroam, 1c:aa:07:7b:28:00, -37
13266440417643, 17, netgostar, ac:7b:a1:de:ba:b6, -68
13266440417643, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -71
13266440417643, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -84
13266440417643, 17, TUvisitor, 1c:aa:07:7b:37:de, -77
13266440417643, 17, eduroam, 1c:aa:07:7b:37:d0, -71
13266440417643, 17, tudelft-dastud, 1c:aa:07:7b:37:dd, -79
13266440417643, 17, TUvisitor, 1c:aa:07:7b:28:0e, -47
13266440417643, 17, NaoNet, 00:0c:f6:6c:cf:94, -80
13266440417643, 17, , 00:15:70:ad:99:ca, -89
13266440417643, 17, TUvisitor, 24:01:c7:76:27:31, -80
13273813186521, 17, RFID-AP, 00:22:f7:21:d0:38, -68
13273813186521, 17, TUvisitor, 1c:aa:07:7b:28:01, -40
13273813186521, 17, , 6c:70:9f:eb:63:a0, -74
13273813186521, 17, , 6c:70:9f:eb:63:a1, -83
13273813186521, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -33
13273813186521, 17, eduroam, 1c:aa:07:7b:28:00, -33
13273813186521, 17, netgostar, ac:7b:a1:de:ba:b6, -72
13273813186521, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -73
13273813186521, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -83
13273813186521, 17, TUvisitor, 1c:aa:07:7b:37:de, -77
13273813186521, 17, eduroam, 1c:aa:07:7b:37:d0, -71
13273813186521, 17, tudelft-dastud, 1c:aa:07:7b:37:dd, -79
13273813186521, 17, TUvisitor, 1c:aa:07:7b:28:0e, -47
13273813186521, 17, TUvisitor, 24:01:c7:76:27:31, -80
13273813186521, 17, eduroam, 1c:aa:07:7b:28:0f, -50
13273813186521, 17, tudelft-dastud, 1c:aa:07:7b:37:d2, -64
13273813186521, 17, TUvisitor, 1c:aa:07:7b:37:d1, -64
13281246027483, 17, RFID-AP, 00:22:f7:21:d0:38, -70
13281246027483, 17, TUvisitor, 1c:aa:07:7b:28:01, -33
13281246027483, 17, , 6c:70:9f:eb:63:a0, -72
13281246027483, 17, , 6c:70:9f:eb:63:a1, -80
13281246027483, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -34
13281246027483, 17, eduroam, 1c:aa:07:7b:28:00, -33
13281246027483, 17, netgostar, ac:7b:a1:de:ba:b6, -72
13281246027483, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -70
13281246027483, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -80
13281246027483, 17, eduroam, 1c:aa:07:7b:37:d0, -68
13281246027483, 17, tudelft-dastud, 1c:aa:07:7b:37:dd, -80
13281246027483, 17, TUvisitor, 1c:aa:07:7b:28:0e, -58
13281246027483, 17, eduroam, 1c:aa:07:7b:28:0f, -50
13281246027483, 17, tudelft-dastud, 1c:aa:07:7b:37:d2, -64
13281246027483, 17, TUvisitor, 1c:aa:07:7b:37:d1, -64
13281246027483, 17, , 00:15:70:ad:99:ca, -89
13281246027483, 17, , 00:15:70:ad:99:cb, -89
13281246027483, 17, TUvisitor, 1c:aa:07:b0:7d:51, -75
13288647769445, 17, RFID-AP, 00:22:f7:21:d0:38, -66
13288647769445, 17, TUvisitor, 1c:aa:07:7b:28:01, -30
13288647769445, 17, , 6c:70:9f:eb:63:a0, -72
13288647769445, 17, , 6c:70:9f:eb:63:a1, -80
13288647769445, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -30
13288647769445, 17, eduroam, 1c:aa:07:7b:28:00, -32
13288647769445, 17, netgostar, ac:7b:a1:de:ba:b6, -79
13288647769445, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -71
13288647769445, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -80
13288647769445, 17, eduroam, 1c:aa:07:7b:37:d0, -68
13288647769445, 17, tudelft-dastud, 1c:aa:07:7b:37:dd, -80
13288647769445, 17, TUvisitor, 1c:aa:07:7b:28:0e, -58
13288647769445, 17, eduroam, 1c:aa:07:7b:28:0f, -59
13288647769445, 17, tudelft-dastud, 1c:aa:07:7b:37:d2, -66
13288647769445, 17, TUvisitor, 1c:aa:07:7b:37:d1, -66
13288647769445, 17, , 00:15:70:ad:99:ca, -89
13288647769445, 17, , 00:15:70:ad:99:cb, -89
13288647769445, 17, TUvisitor, 1c:aa:07:b0:7d:51, -75
13288647769445, 17, KLINUX, 00:80:5a:47:09:1c, -83
13288647769445, 17, NaoNet, 00:0c:f6:6c:cf:94, -83
13001430865724, 17, RFID-AP, 00:22:f7:21:d0:38, -81
13001430865724, 17, TUvisitor, 1c:aa:07:7b:28:01, -34
13001430865724, 17, netgostar, ac:7b:a1:de:ba:b6, -77
13001430865724, 17, , 6c:70:9f:eb:63:a0, -80
13001430865724, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -80
13001430865724, 17, tudelft-dastud, 1c:aa:07:7b:28:0d, -58
13001430865724, 17, TUvisitor, 1c:aa:07:7b:37:d1, -70
13001430865724, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -92
13001430865724, 17, eduroam, 1c:aa:07:7b:37:d0, -73
13001430865724, 17, hotspot_mike, 60:36:dd:cb:c1:4f, -84
13001430865724, 17, Galicia, 00:1c:df:b5:e0:a5, -90
13001430865724, 17, TUvisitor, 1c:aa:07:7b:28:0e, -65
13001430865724, 17, TUvisitor, 1c:aa:07:b0:7d:51, -80
13001430865724, 17, tudelft-dastud, 1c:aa:07:b0:7d:52, -81
13008452727020, 17, RFID-AP, 00:22:f7:21:d0:38, -75
13008452727020, 17, TUvisitor, 1c:aa:07:7b:28:01, -36
13008452727020, 17, , 6c:70:9f:eb:63:a0, -72
13008452727020, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -72
13008452727020, 17, tudelft-dastud, 1c:aa:07:7b:28:0d, -58
13008452727020, 17, TUvisitor, 1c:aa:07:7b:37:d1, -70
13008452727020, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -92
13008452727020, 17, TUvisitor, 1c:aa:07:b0:7d:51, -80
13008452727020, 17, tudelft-dastud, 1c:aa:07:b0:7d:52, -81
13008452727020, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -34
13008452727020, 17, eduroam, 1c:aa:07:7b:28:00, -36
13008452727020, 17, tudelft-dastud, 1c:aa:07:7b:37:d2, -69
13008452727020, 17, NaoNet, 00:0c:f6:6c:cf:94, -89
13008452727020, 17, KLINUX, 00:80:5a:47:09:1c, -90
13015104976398, 17, RFID-AP, 00:22:f7:21:d0:38, -75
13015104976398, 17, TUvisitor, 1c:aa:07:7b:28:01, -34
13015104976398, 17, , 6c:70:9f:eb:63:a0, -73
13015104976398, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -72
13015104976398, 17, TUvisitor, 1c:aa:07:b0:7d:51, -80
13015104976398, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -33
13015104976398, 17, eduroam, 1c:aa:07:7b:28:00, -34
13015104976398, 17, tudelft-dastud, 1c:aa:07:7b:37:d2, -69
13015104976398, 17, NaoNet, 00:0c:f6:6c:cf:94, -89
13015104976398, 17, KLINUX, 00:80:5a:47:09:1c, -90
13015104976398, 17, eduroam, 1c:aa:07:7b:37:d0, -67
13015104976398, 17, TUvisitor, 1c:aa:07:7b:28:0e, -57
13022835398611, 17, RFID-AP, 00:22:f7:21:d0:38, -73
13022835398611, 17, TUvisitor, 1c:aa:07:7b:28:01, -34
13022835398611, 17, , 6c:70:9f:eb:63:a0, -86
13022835398611, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -88
13022835398611, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -33
13022835398611, 17, eduroam, 1c:aa:07:7b:28:00, -34
13022835398611, 17, NaoNet, 00:0c:f6:6c:cf:94, -89
13022835398611, 17, eduroam, 1c:aa:07:7b:37:d0, -72
13022835398611, 17, TUvisitor, 1c:aa:07:7b:28:0e, -60
13022835398611, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -87
13022835398611, 17, , 6c:70:9f:eb:63:a1, -88
13022835398611, 17, , 00:15:70:ad:99:ca, -88
13022835398611, 17, GAMMA, 00:15:70:ad:99:c8, -91
13029929498905, 17, RFID-AP, 00:22:f7:21:d0:38, -81
13029929498905, 17, TUvisitor, 1c:aa:07:7b:28:01, -32
13029929498905, 17, , 6c:70:9f:eb:63:a0, -86
13029929498905, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -88
13029929498905, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -33
13029929498905, 17, eduroam, 1c:aa:07:7b:28:00, -34
13029929498905, 17, NaoNet, 00:0c:f6:6c:cf:94, -92
13029929498905, 17, eduroam, 1c:aa:07:7b:37:d0, -72
13029929498905, 17, TUvisitor, 1c:aa:07:7b:28:0e, -60
13029929498905, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -87
13029929498905, 17, , 6c:70:9f:eb:63:a1, -88
13029929498905, 17, , 00:15:70:ad:99:ca, -88
13029929498905, 17, GAMMA, 00:15:70:ad:99:c8, -91
13029929498905, 17, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13036729483533, 17, RFID-AP, 00:22:f7:21:d0:38, -80
13036729483533, 17, TUvisitor, 1c:aa:07:7b:28:01, -35
13036729483533, 17, , 6c:70:9f:eb:63:a0, -82
13036729483533, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -72
13036729483533, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13036729483533, 17, eduroam, 1c:aa:07:7b:28:00, -36
13036729483533, 17, NaoNet, 00:0c:f6:6c:cf:94, -92
13036729483533, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -82
13036729483533, 17, , 6c:70:9f:eb:63:a1, -81
13036729483533, 17, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13036729483533, 17, eduroam, 1c:aa:07:7b:28:0f, -53
13036729483533, 17, tudelft-dastud, 1c:aa:07:7b:37:d2, -76
13043438345286, 17, RFID-AP, 00:22:f7:21:d0:38, -65
13043438345286, 17, TUvisitor, 1c:aa:07:7b:28:01, -32
13043438345286, 17, , 6c:70:9f:eb:63:a0, -67
13043438345286, 17, CrowdGuest, 6e:a0:63:eb:9f:71, -67
13043438345286, 17, tudelft-dastud, 1c:aa:07:7b:28:02, -31
13043438345286, 17, eduroam, 1c:aa:07:7b:28:00, -32
13043438345286, 17, CrowdGuest, 6e:a1:63:eb:9f:70, -80
13043438345286, 17, , 6c:70:9f:eb:63:a1, -79
13043438345286, 17, tudelft-dastud, 1c:aa:07:7b:28:0d, -51
